,name,title,rating,date,text,helpful_vote
20,Harshit Narula,Excellent product best for muscle gaining,5,13-Feb-20,Excellent product. Best for muscle gaining it's very easy to mix unlike other whey protein.Using this product from last week and I'm amazed from the resultsGrate tasteDo take in water after gym for best results,76
21,Yash,No scoop inside how will I measure the about ?,3,5-Jul-22,"Useless seal. Doesn't hold the package from getting opened.Small dot hole in the seal, not sure why that is there.Worst part is, the container doesn't have scoop inside it. How am I supposed to measure the quantity of the amount that I'm taking ? Pathetic!!But scratch code does work. First i messaged them, i didn't got the response but after 5 mins  i checked on webside and it said the product is already been verified and the previous verification details was of mine only, that i did 5 mins ago. So the Scratch code does work!The container is bigger than the amount of protien in it. Hense looks half empty but weight seems to be as promised by GNC.It is Indian protein. Manufactured by Tirupati Wellness Private Limited, Surajpur.Will update the review after one month of consumption.",3
22,Kindle Reader,Poor Quality,1,26-Aug-21,"I bought GNC Pro Performance 100% Whey Protein - 2 kg (Chocolate Supreme) on 3-Aug-2021  which was sold by the vendor Cloudtail India on Amazon. The Guardian Authentication Code is UBBPY5GP. It came in proper packaging, the top was sealed, I scratched the code and it looked authentic except for one major issue that it is ""too sweet to drink"".I have bought this product 3 times now, really liked the first two times, and never experienced such a sweet protein powder before. It tastes bad with so much sweetness. The issue can be either it is fake or the product quality has got deteriorated. In either case, I'm not buying it again.",2
23,anita,Best whey protein,5,3-Mar-20,It's a pack of best chocolate flavoured protein.I purchased this protein for myself.Its taste is amazing and I was expecting the same.Trust me it's one of the best protein available in the market.,9
24,Jayram Gowda,Best in the price!!,5,24-Feb-21,Best whey protein in budget just go for it and in these reviews they have mentioned about the hole in the seal it's a technology provided by the company so that the box doesn't get damaged while transportation go for it I've got good results too,5
25,A.Sai Prathap,Recommended,4,24-Jul-21,Review after usage of 20days its good protein blend and getting results. It is super sweet. I couldn't able to drink banana shake cause of super sweet after adding this protien. Drinking this protien by mixing with 300ml water even it sweeet.Overall its good  protein getting nice results. Recommended protien.,3
26,Satyaki sanyal,GNC whey protein product review,4,14-Mar-21,"Hi,I started to workout seriously after a long span of 5 years.I have used whey protein from Ultimate nutrition and Muscletech and can say that the flavouring and texture of this product is at par. Now,coming to recovery,I can say that protein consumption and fish oil consumption reduces soreness overall but to see some changes in the mirror , it definitely takes a long time.Regards,Satyki Sanyal",4
27,neelam,"Too sweet, doesn‚??t mix well",3,16-May-22,"I‚??ve been using ON Whey Isolate for a long time and decided to try GNC to switch things up. Found GNC to be much sweeter- sweet enough to give me a sugar rush. Not very palatable. Also I noticed that it doesn‚??t mix as easily as ON does. While it is much cheaper than ON, I feel it is not worth the money saved. Will go back to ON after finishing this.",3
28,Keshav Mohta,Authenticity,1,8-Feb-20,The received product couldn't be verified by GNC website so either the product is FAKE or the code/audenticity verification by GNC doesn't seem to work. In all I don't know if the product is genuine and thus it can be harmful.,9
29,Raj,Wonderful product,5,20-Oct-20,"The product exactly delivers whats written in the box, I could see significant change in my muscle size and also increase in power while using the product. I have almost finished the first box and m all set to order the second from the same brand as well. Kudos GNC!!",6
30,Ashish kataria,Jar cap was opened may be duplicate product,3,21-Aug-21,"The media could not be loaded.
                



¬†I found that jar opened wasn't packed from factory. Let see whether it is original or not.",5
31,Joseph Jacob,Satisfied,5,19 April 2021,"I have seen many people saying that the lid has a hole in it but believe me that hole is not by amazon that hole in the lid has been provided by the company. I have been in the fitness industry since past 3 years and to be true gnc provided me with the best results in these years. Good taste, Good results and better quality of muscle growth.",4
32,Rahul,Whey protein isolate,4,25-Oct-19,It is not same as the one which I bought in overseas.. Taste is same but the thickness is missing. Worthy and flavour is good.,8
33,Amazon Customer,Its not worth GNC brand,1,13 April 2022,I tried GNC because of someone's reference and i need to shake it for almost 15 min and then also it doesn't mix well.I contacted manufacturer and they also didn't respondwd the way they should i sent the video of shaking and the lums inside he said even i can't mix it this much well and he said this is perfect .I threw it its completely waste don't buy.,2
34,Ashish,TOO SWEET AND HEAVY BUT PERFORMANCE IS GOOD.,3,26-Jun-21,I do not like taste of choclate fudge because it's too sweet. It's too heavy after mixing it with water that's why I didn't try to consume it with milk.Protien is okay in this budget. Performance is good I can see muscularity in my body. Product is genuine because I have checked authencity through various platforms.,2
35,kapil,Authentic product as verified via GNC site,1,9 April 2021,"The product is authentic but if I compare it with the chocolate flavors which i have used several times. Adding a similar amount of scoop in water, the chocolate flavor holds the thickness and this strawberry doesn't.Definitely not expected from GNC, the product is definitely authentic (Manufactured -Mar 21) also the powder doesn't seems to be fresh .My advise is to stick to flavours which are widely verified and accepted by the consumers .A BIG NO TO CREAMY STRAWBERRY FLAVOUR by GNC",1
36,Anil Kumar Dubey,Nice strawberry flavor,5,28-Jan-22,"Nice flavor and taste. I have tried a large number of brands and this is one of the best. Must for post workout. Replace fatigue catabolic state body with anabolic state. Also consume carbs with good fats after workout to cover energy need. I will recommend this brand due to its price, quality and flavor. Must give it a try.",64
37,Kunal Dey,A good blended whey with great taste,5,2-Feb-21,Great tasting protein with good mixability. Result is also very good. This was my 4th buy of gnc pro performance whey 100%. It actually gives good result to gain lean muscle mass.,3
38,Amazon Customer,Third class product- very bad quality,1,2-Jun-22,"The product is very very bad - the protien doesn‚??t dissolve properly, which shows the poor quality; very bad taste; and when I contacted Amazon for the same, they said talk to the vendor/merchant, wrote them 2 emails with pictures, been a month and no courtesy to even reply yet",1
39,Jeeps,Awesome protein tasteful & adequate quality,5,17-Mar-22,The rate of choco fudge flavour is dam good very tarty you can have it with chilled water or milk. You can make a complete meal with this protein by adding it to milk or curd & then add some dry fruits or fresh fruits it‚??s extremely tasty I am very regular with GNC choco fudge ????èº??™?èº??è?èº‚?®,1
40,mahesh gogalia,Duplicate product only taste no results,1,3-Feb-21,I didnt like this product of gnc as the taste of its very sweet even though its sugar free ..feel no quality and results are not that vary effective ..not sure its original ..as amazon started duplicate products selling,2
41,Sambit,Best tasting protein i have ever tried!!!,5,4-Mar-22,"The media could not be loaded.
                



¬†Tastes great ??? Mixes well. Moreover quite chip and value for money obviously.Will recomend it .",66
42,Anant Jain,Has maltodextrin in it.,1,18-Jun-22,One should be mindful when reading the ingredients. Manufacturers are getting smarter. The protein is extremely sweet because of maltodextrin in it. A complex form of sugar that spikes insulin in your body post consumption.,1
43,chandan s.,Genuine product,5,10-May-22,,69
44,Amazon Customer,Fake product,1,19-Feb-20,Fake product,6
45,Ayan Khan,It worked for me as expected and this chocolate flavour is awesome.,5,3 April 2022,"This is original product which I was worrying when I ordered. It has good absorbency and a good taste. If you are a beginner, it is good to start with. Make sure to consult before consuming the amount. It should be according to body weight and workout.",1
46,Meet bhanvadia,Best protein for middle class family boy or girl,5,17-Jun-21,Its very tasty and no lumps in it .I write after  1.5 or 2 months bcz i thought it would be help to many people like me to buy things very carefully and thought about money also so i recommend to buy there is very superb product.,2
47,Lalit Sharma,Average whey protein,4,15-May-21,"I have been using this product, and for me it felt like it's not able to deliver the performance according to the cost, in comparison with other brands that exist in the market. I would still recommend to beginners to try it out.",1
48,Verified_Amazon _Customer,Probably a duplicate,5,18-Feb-21,Should I be worried that a duplicate product is being sent? Look the bottle... no new packing looks torn like that.Deliberately given 5 stars so that helps make a conscious decision people and rethink of buying this,2
49,Amazon Customer,Causes gas,2,2-Sep-20,I would suggest to buy a protein with no flavour and that does not contain artificial sweeteners. This causes flatulence. Try unflavored protein,2
50,Girish,The taste could have been better,3,1 April 2021,It doesn't readily dissolve in milk. And also does not tastes very good but manageable. But the response team was very friendly. They told me they would help me return it but they replied a little bit late and I couldn't return the product. Anyways I had to consume it and it's satisfactory.,1
51,Dhvani,Taste is fabulous,5,16-Feb-21,I think its the best tasting whey ever.. it tastes like a creamy chocolate ice cream. Best taste among whey protien ever for a reasonable cost,2
52,Aritra,The product has changed. Photos of old product are shared to mislead people,1,16-Sep-21,The nutritional profile has changed. The new one contains 3gm sugar per scoop and tastes pathetically sweet. It is still being sold using the nutritional profile of what used to be good whey.,1
53,Sid,Genuine product.,5,1-Aug-20,"For those of you wondering about that hole in the seal, it is for the passing of air so that the supplement doesn‚??t get soggy. It‚??s a genuine product but just verify again using the code.",4
54,Shehbaz Siddique,Sugar added in strawberry flavour and it was not mentioned.,5,15-Mar-22,"Overall great result, taste was one of the best but if u r looking for no sugar then please don't go for strawberry flavour.",2
55,Rananjayaa Singh,??Ø??Ø??Ø,5,7-Jan-21,I have very recently started working out and this one accentuates it like anything! I love the flavour and the thickness is just right!,2
56,abhineet singh,Are you Looking for a good protien ?,4,9-Aug-21,"Really a good whey protein, chocolate fudge is the best flavour if you need any suggestion about flavour. Also the protein is quite good in mixing with water but found some lumps sometimes , but still better than muscleblaze extreme sweet whey protein range.",1
57,vignesh,Yummy Protein,5,10-Mar-21,"I've tried Abbsorb, As-it-is and Muscleblaze. But this is by far the best tasting protein I've ever had. I'll edit this post in a month to review about the muscle building.",2
58,Rafa,Good branded product,5,13-Jul-20,"Flavor is maybe a bit sweet for me.I got an Mi Band 4 in lucky draw for buying this :DIf you want to go for a proper branded product, this is good option.But I still feel MuscleBlaze will meet all your requirements anyways with value for money",1
59,rachana enterprises,not good mixability,3,3-Jul-22,product taste is what i wouldn't recommend plus the mixability iss like 1 out of 10,1
60,Girish Chandwani,Not Recommended.,1,13-Aug-21,Tastes Bad As In Very Sweet Like Sugar Spoon In Your Mouth With Foul Smell. Seems Adulterated. Don't Go For It. Have Asked For Replacement Or Refund. Awaiting Further Process.Don't Have Negative Ratings Or Else Would Have Given That. #gnc,1
61,Binoj khichi,Good for beginners.,5,2-Aug-22,I am just a beginner . And protein seems to tastier as  well as its recovery is quite perfect for me.,1
62,Akash Warkhade,Genuine Product,4,25-Jun-22,This is a genuine product..I have purchased 2 rimes and both times I verified it on guardian.in and it was genuine..,1
63,McLovin,100% authentic product,5,26-Jun-20,Got the product delivered today its 100 original and for 3500rs its totally worth it.,4
64,Rishabh jain,Vanilla flavor is bad,5,5-Sep-21,"Vanilla flavor is very bad. It has poor mixability, it forms more lumps and froth,foam while mixing.Chocolate fudge is best.Shake consistency is also thin.",1
65,Rohit Jha,Authenticity,5,28-Mar-22,Flavor is great and it mixes well just to prove the authenticity of the protein . Packaging is good and overall experience is nice . Bought it two times already won‚??t hesitate for buying it again,1
66,Lakshay  arora,Best Protein for Muscle Gaining,5,16-Feb-20,"Best product ever,too much effective.Everyone will start seeing results with in a week, following proper diet and nutrition.Chocolate flavor is very tasty too.Best for Gaining muscle.Drink post workout to see best results.",3
67,Dinesh sevkani,?§??èª,1,29-Feb-20,powder doesn‚??t mix with water  properly at the time of shaking.,3
68,subash,"Cheap, safe, tastes nice, vegetarian, good for beginners",5,8-Sep-21,"Cheap, safe, tastes nice, vegetarian, good for beginners",1
69,kriti,Damaged product,1,23-Nov-21,The media could not be loaded.,3
70,rishe,dont buy,1,8-Nov-19,plz dont buy it effect your degistive system ...  pathetic it is,7
71,MUKESH KUMAR,Plz don't buy it,1,16-Oct-20,Plz don't buy this gnc productsI have purchased this and use 15 days and not improve my mussels and big issues for that this is not digestive ..Bhai plz mat lene money totally waste,1
72,Prashanth,Go for it,5,22-May-21,"My first protien supplement, and I'm happy with the results. Good flavour",1
73,Rubal Gupta,AW,5,14-Jul-22,Awesome performance after using for a week. It has increased my endurance. Needs proper shaking to dissolve completely in milk,1
74,Nageshbudge,Qulity protein powder,5,2-Feb-21,"Maine bahot se protein powder use kiye hai. Jaise ki on, ISO sensation, ISO pure, aur bhi bahot sare best protein but gnc pro is the best protein osem test. I love it more..??ç??ç???",1
75,N Vartak,Good product,5,3-Mar-21,The quality and the taste of the product are really good. just go for it.,1
76,Rakesh Singh,Overall a good product,5,27-Jul-20,"I would give it an overall 5/5. I bought it during a sale on amazon. Mixability,taste,all things are really nice . I would recommend it to others also.",3
77,sachin giri,A good product in good price,5,5-Jul-21,"I brought a chocolate fudge its taste good ??ç, absorption rate is better, affordable price , genuine product, tested by informed choice, best for beginners intermediate and all.",1
78,Vikas,Genuine product from Cloudtail reseller,5,28-Sep-19,I bought it from Cloudtail seller. Checked whether its genuine or not by sending SMS on given number. And found it is genuine. Taste is good.,4
79,Amazon Customer,Make sure you verify from official website,5,15 April 2021,"Product got verified by Guardian GNC officially. Tastes good, mixes well and does the job. What more do you want?",1
80,Ishan T.,Nice and original product,4,17-May-20,"This is 1st time I am ordering Gnc pro, before this I ordered Advanced protein and results were good. Now trying pro. I always order from guardian and receive genuine products",2
81,manish kumar singh,Fake product,1,3-Jun-21,"The product received is fake/duplicate, actually it is wheat flour and product received was without seal. Really disappointed with Amazon",1
82,Sonu gurung,I'm not satisfied,1,7-Oct-20,"Not easily mixed with water, and the cap of  protein contanier is not tite after the each scoope  of protein. I m not satisfied. I'm using this product till 1 month",2
83,Saurav R.,Too sweet.. tastes bad,1,31-Jan-21,This tastes really horrible. Too sweet.. having a hard time finishing this whey flavour,3
84,Harpreet,Best Protein In Budget,5,12-Aug-21,"This is one of the best protein,i have ever taken.Sweetness is optimum.I have tried all the flavours but chocolate supreme is best.moderate in price.Must go for it",1
85,Ranjodh,Chocolate flavor is delicious and also good results,5,13-Jan-22,Best protien supplement rather than on whey.if you want better result you can also add certain supplement of same brand in post workout meal.,1
86,Vishal Sawant,Guaranteed muscle building supplement,5,31-Jul-22,"I have been using GNC Chocolate fudge since a years, I can for sure that it help recovering muscle",1
87,Sachin,Genuine GNC product,5,30-Oct-18,great product...great taste...great result...no lumbs found while mixing...got at best price...thanx to seller - Guardian Healthcare,7
88,Cho Iksun,-,4,16-Jun-22,-,1
89,Piyush Kumar Gupta,Very frustrating..,2,31-Dec-20,Product seems tempered by someone as seal was broken.. packing was also not proper..very bad experience,2
90,Sparsh patial,authenticity,5,26-Sep-21,great product with great taste and the authenticity of amazon futher makes it lovable,2
91,shehzad,Fantastic product,5,28-Feb-20,I love very much to use this whey pro performance protein suppliment....Best whey protein to go for. It has all the contents. so u can have a try and i recommend to all my friends who love's gym.,2
92,Vishal,Too sweet!,1,30-Aug-21,It‚??s extremely sweet I don‚??t understand point of making it so so sweet,1
93,Vimal banka,Value for Money,5,13-Jul-21,Like,2
94,Amazon Customer,Fake product,5,2-Nov-19,Fake product...brought same product from main gnc store...but this product had diff colour...so this must be fake,3
95,Rina,Current batch are poor...,1,8-Jul-20,Currently I purchased this product on 24th of June... taste are totally different. Using this product from last 3-4 years....but this package are very worst.,2
96,Ayaz,Trust GNC,5,27-Mar-21,Trust GNC product nice and helpful to grown up in bodybuilding..!!,1
97,SID,GNC ALWAYS THE BEST,5,10-May-21,Great product .. As GNC is always the best,1
98,Customer,Useless Product The Amazon delivery guy did not deliver it to me. He delivered it to someone else.,1,26 April 2019,Pathetic Product not as Expected or Advertised. Amazon delivery guy was pathetic did not deliver to me. But to someone else.,5
99,gagandeep,Gud result,5,11-Aug-21,Nice taste,1
100,rohit,Old and fake,1,7-Aug-20,Product is old manufactured. Expiry day remain only 20 days. And not authentic because no tag or authenticity stcker present.,2
101,Dr Praveen G,Dissolving improper,2,13-Dec-18,It doesn't dissolve completely wen mixed in milk,3
102,Atul tambatkar,Awesome flavour,5,23-May-21,Fantastic flavour. I have the chocolate fudge and it is so tasty. Thank you GNC.,1
103,Rohit kumar,Great Taste and product,5,7-Oct-20,great Taste only when used with milk and Intermediate results. Go for it if you are a  beginner and searching for a good product,1
104,Amazon Customer,Got a duplicate product at Malegaon 423105,2,2-Mar-21,I just compared my currunt product with recived product and it is a duplicate product. It tasted sweet.,1
105,sikander mahan,Good mixability and taste,5,19-Nov-20,A little pricey compared to indian brands but has better mixabilty and taste ( than muscleblaze atleast).,2
106,Gaurav kad,Best as always.,5,5-Oct-19,GNC at it‚??s best as always. Flavour too good and effect is supernatural because of zero sugar content. You just need to sacrifice the taste.,1
107,San G,too sweet,1,24-Jun-21,"its too sweet ,feel like drinking sugar",1
108,Shivam Tyagi,Nice taste,5,21 April 2021,Nice taste,1
109,Ankit jena,No scoop,1,16-Mar-22,"There is no scoop in this product how will I measure the quantity,",1
110,akash sharma,Super,5,15-Jan-21,Nice delivery,1
111,Shashank R,Genuine...best tasting protein ????èΩ????èΩ,5,9-Feb-21,Original product...verified on gnc website...great taste,1
112,Ankit gautam,Premium protein,5,28-Feb-20,I ordered this protein few days back and getting fine results from it. Gnc is a premium brand and it gives absolute result.Authentic productGood tasteGood results,1
113,Bugs Bunny,Go and buy it,5,31-May-21,Nice product even taste also good .. highly recommend,1
114,Ash,Ok ok,3,13 April 2021,In one month i have used 2 kg with 15 egg boiled regular gym with personal trainer 1200 per month but very less result,1
115,Deepak mishra,Superb product from gnc,5,23-May-21,I like it bcoz of its fantastic flavour or its mixibility...,1
116,riti,very good product,4,3-Mar-20,very good product.taste is good and the mixibility absolutly fine.good for begginers and also intermidiate..go for this whey protien.,1
117,Amazon Customer,Good,5,5-Jul-21,Little expensive but good quality in terms of taste and abosorbance..????èª????èª????èª,1
118,Ritik s.,Mixability superb,5,24-May-21,The mixability of this product is superb.. i have use many other brands but this one was very good,1
119,Rishabh,Very good,5,11-May-20,"Looks original. Good taste, smell and mixes well.",1
120,Vishnu,I don't find it useful,2,23-Jun-19,I don't feel any better in me.I am still loosing my weight.  I know it's not a gainer but it let not loose weight .,3
121,Amazon Customer,Best whey,5,21 April 2021,Best whey protein for all level of athletes,1
122,Kindle Customer,This is good option for beginners as the taste is good and protein absorbance also good.,4,9-Aug-22,Good product for newbie,1
123,Abdul,Gnc,3,25-Oct-19,Ok product..100% real,4
124,Akshay,"Good product, value for money",5,18-Mar-21,Good product,1
125,Uttam reddy,One of the Best whey protein powder in India,5,17-Jul-21,Chocolate flavour is so tasty you can go for it,1
126,Hari Darshan Kapoor,Delivery issue,5,28-Sep-20,I ordered chocolate supreme but i got chocolate fudge thats the only prblmThe prblm is in amazonGnc is awesome,1
127,Parth G.,"Good taste, authentication process and value for money",5,8-Mar-21,"Good taste, authentication process and value for money",1
128,Bsronny,Is protein quantity and BCAA,5,9-Mar-21,Is was awesome,1
129,Amazon Customer,horrible taste,2,9-Nov-20,horrible taste.. onn whey is 100 times better.,1
130,Bhumika,Gnc,1,1-Jun-20,"Horrible...causes insomnia and  uneasiness if taken at night,tastes below average..",1
131,Vikash,Strength and recovery,5,5-Nov-20,"I called zeher protein, because its give me strength that ON ( optimum nutrition )never does.",1
132,Amazon Customer,Original,5,13 April 2021,Goood original product,1
133,aditya singh,Product is authentic.,5,7-Mar-21,Taste is good and it is effective,1
134,Natwar,Best for buy,5,18-Jun-20,It's very good product use of this for beginners . And test is also good I'm using this 2nd time.,1
135,Sukhjinder singh,Excellent product,5,20-Dec-18,I just love this product it has good results with proper diet the taste and mixability is also excellent,4
136,Karma,Superb,5,14-Oct-20,I got 110 % original product thank u GNC and Amazon,1
137,Amazon Customer,Best for us begnors,5,13-Jun-21,Best for us begnors,1
138,Anynyoms,Great,5,27-Sep-20,Good product genuine... cheaper than on other sites,2
139,sukhminder singh,Best protein and recovery is very fast,5,9-Nov-19,Good product and muscle strength is too when start the protein,1
140,Gaya Prasad Gour,Natural Chocolate,5,20-Nov-18,"I use it after physical activity, and I can tell you that it is an excellent product.",4
141,Raju,Good,5,17-Jan-21,Good,1
142,Lokesh.S.Jain,GNC whey protein is worth buying.,5,18-Aug-19,Its really good in taste and gave me good energy levels. Would recommend for the beginners.,1
143,Navpreet Singh,Right choose,5,14-Jan-21,Right choose for meTry strawberry flavourVery nice product,1
144,Abhishek,Best protein with no side effects,5,17-Sep-19,Best protein and the results are also good i recommend this one,1
145,Sarvesh Tiwari,Thumbs up,5,10-Oct-19,Good and genuine product.Thank u amazon for faster delivery..,1
146,vanthiyadhevan,Don't buy it,1,21-Jun-20,Waste of money. Go for other protein powders.,1
147,Prashant,Awesome,4,26-Nov-18,Genuine product. Highly recommended,2
148,Amazon Customer,Without scoop,5,3-Feb-20,"Delivery on time ,product is original but upset from gnc witout scoop ke product kese use kre so upset",1
149,Aman saxena,Only sugar and no protein,1,13 April 2021,Just sugar and flavour .no protein,1
150,Vinod Giri,Good,5,22-Oct-19,Good,2
151,Altaf Hussain,It‚??s a fake product ... I never had digestion issues with protein. It‚??s taste different,1,30-Mar-21,It‚??s a fake product ..!,1
152,Amit,Display Serving Qty is less than printed.,3,22-Oct-20,Serving Qty is 25 scoop not 28 Scoop.,1
153,Kapil R Tribhuwan,World class product. With low price. Great product!!,5,30-Nov-18,Very good then Muscle blaze. Worth ur money. Great for building Muscles,2
154,Chetana,Best quality product. Will recommend to others.,5,3-Dec-18,nice and healthy product with best quality. It tastes nice.  Delivered the product on time.,2
155,Amazon Customer,Nice,5,5-Sep-19,I like the taste. Result is also good.,2
156,Amazon Customer,Good,5,10-Sep-19,Genuine product,2
157,Jaswinder Singh,no performance,1,2-Nov-19,Duplicate,1
