,name,title,rating,date,text,helpful_vote
13,Aditya Saurav,Good purchase!,4,11-Jul-20,"Well I started working out few months ago and it was a helluva journey. A cousin of mine who's a fitness freak 😂 recommended me this. I got it fairly quick even in lockdown thanks to Amazon delivery service. I'd say it fulfilled its purpose. Since its a beginner product, it'll give you 12g of protein in one heaping scoop which is fairly enough for a beginner. It'll never miraculously help you in shedding weight as the product never intended to, its main purpose is to provide you protein which can be easily aborbed by your body after your workout session so that your muscles can heal up. Long story short its a good product to kickstart your healthly lifestyle. I've used it and I'm happy with it.",
14,Dhruv tiwari,This is real or fake product..,4,8-Oct-18,What is this to the back side of jar..is this fake item?,
15,ShEkhR_ShROff,Good,5,2-Nov-20,This whey protein is good and flavor is amazing. So tasty i will use 25g/day (15x2) morning 7:20 and evening 19:00You can buy this product,
16,Amazon Customer,Dont buy,1,24-Nov-18,Extremely poor quality and half filled box.Complete waste of money,
17,Ajith,Problem with shaker,4,13-Oct-20,"The product is good but the shaker is not air tight and while shaking with liquid (milk or water) inside some drops comes out of the edges of the side cap and the top sipper is air tight, no problem with the sipper part. Please modify the cap as airtight. btw the quality of plastic used in the shaker is awesome though. Thanks.",
18,MOSES MARK RAI,Good,4,29-Sep-19,So why is this protein very cheap as compared to other protein powders here is your answer yes the protein is cheap as it has lesser amount of protein % per scoop which is about 12g and plus 12g for carbohydrates as well comes with it other when protein has higher prices as they come with whipping amount of 26-30g of protein with 3.1g of carbohydrates...Now should we buy it is it worth it yes it is two scoops can give you 24g of protein and 24g of carbohydrates now now before you think isnt carbohydrates also there yes ut is but you can later reduce the carbohydrate intake from your diet to balance the calories.Now for the mixing it mixes well but only one scoop in 200ml water it doesn't have that heavy texture but 2 scoop will give you the perfect texturePricing yes 998 33servings it's a good dealLastly you cant label a protein powder good or bad just because you used it once at least 5-6 months you gotta use it in order to see the difference . And Getting a Good physique just doesnt come by consuming heavy expensive whey protein it takes time heavy lifting balanced diet and along with protein powder combination of all these can lead you to your fitness goal .I hope my review helps you in your fitness journey good luck,
19,Mahesh,not sure its genuine or not,1,16-Jan-19,i dont know its original product or not but its not good for health i become sick after taking it,
20,Salami,Useless pouch,1,28-Jan-22,"They've changed giving it from the box to the pouch, first every time its cumbersome to open and close the zip lock of this pouch.  And the second worst thing is the whole powder comes up flying in air once you open them due to pressure release as this is dry powder.  I don't understand how come a company could ruin a product for a customer just by spoiling the convenience of using it. Very disappointed and pathetic.",
21,Bisheswar Karmakar,Packs a punch,5,15-Jun-22,"This is the absolute best product you can find in this category. Perfect for muscle growth and keeping carbs and fat to a bare minimum. The protein content is almost double compared to other products, and what matters even more is the carb content which is extremely low.I'd say a 8/10 product, 2 points off for its poor solubility in both water and milk. Forms clumps and then I'd have to chomp on it separately.",
22,Shahjad Khan,Good one for beginners,3,22-Aug-19,Not a nice product overallBut it’s a suitable product for the beginners.,
23,Dhiraj Karne,Flavor is good and best for beginners who don't know what is protein and why take it so go for it,4,6-Jan-21,"First think this is not Muscle builder,fat loss product, weight gainer. This is only protein and this protein is good for beginners. Let's talk about flavor flavour is pawder chocolate i tried it with water and also milk in water i don't like it but when I try with milk this iss too good like chocolate milk shake i drink it daily. This protein 1 kg upto 50 to 60 days I takr 1 scoop daily with milk. I forgot about shaker so shakers material quality is good in shaker mixer the protein properly mix with milk or water",
24,Dillen,"Good, but not good:)",3,28-Dec-19,"It is all good, but better start consuming whey protein from start itself. If you read the protein content of this product, it us just 12 gms per serving, which quite less. Instead of this better go for Whey protein performance or Whey protein energy. And always go for flavour ones, because the unflavored ones are not easy to consume, you'll feel like you're on medication. So go for a product that is high in protein content, and which is flavoured. Thanks!",
25,DDas,I liked d product,4,13-Nov-18,Good product and received well packed from Amazon. I liked d product helps to boost strength spclly when u r tired from heavy workout. Tastes very good chocolatey. Thick and rich taste in milk or warm water. I consume once a day only after work out..so 5 days a week. It's my 1st experience with protein powder.,
26,Prakash Pathak,Don't buy received only half kg product tampered from bottom.,1,12-Sep-20,"Received tampered product , looks like someone has taken almost 300-400 grams of powder from bottom.I checked the code it was authentic product from muscle blaze but the jar was tempered from bottom. When I open the jar it was only half fill. I thought that would be the quantity as I was buying for the first time but yesterday when I refill the jar with asitis whey I realised that someone has taken around 30-400 grams out and repack the jar from bottom.Even it was purchased from the reputed seller it's a altered.Amazon should look into these kind of issue. 1st time users can be cheated easily by sellers.",
27,Mohammed Haisham Harees,Absolutely recommend it,4,24-Aug-21,"At first, I was a bit skeptical about buying this protein powder because of a lot claims from people who have used it here in the review section. I saw people complaining about how they developed certain skin problems and allergies. But I decided to buy it anyways and try it for myself and I am glad that I did.I gained close to 4kg last time I checked my weight. I am seeing a noticeable difference in my muscle growth. And no, I didn't experience any sort of side effects or whatever. But you have to know that, protein powder can cause certain side effects to some people (I have read MB's blog). But the only way to know it is by trying it for yourself.The flavour is rich and it tastes sort of creamy. Gonna order another bottles soon. Totally recommended. 😊",
28,Madhavendra Singh,Received damaged container,1,25 April 2021,"The seal was broken and had a hole in it and the taste was unusual prolly spoiled or contaminated had to throw it away. It was my first time buying supplements online and even when many people asked me to not buy it online even my fitness trainer even then I did, but Thanks to Amazon I received a full refund but it was still a disappointment to receive damage product after waiting for 5 days after placing the orderSo I'd recommend buy these things offline if you want to maintain a strict workout regime without any disturbance in day to day schedule a few hundred bucks are still worth to spend if you want your body to stay fit.But I've used this product earlier for like a year now so I'd say it's good for beginners just maintain a strict diet and buy it offline to reduce unwanted stress Amazon isn't a good choice for buying consumable or edible goods I'm saying this from past experiences too.",
29,Ashok,Disappointed.,1,3-Mar-19,I got these product and I checked it was authentic but it was becoming soapy when I diluted it..I don't know what the hell I got .Although delivery was fast😂😂,
30,VIVEK KHULLAR,Quality issues worst product received from Amazon,1,9-Feb-21,Received a defect quality product from Amazon. Its stinking and unconsumed one. I have informed both amazon and muscle blaze about it. And the irony is that no one is showing zeal to take the  responsibility of there fault product. Poor service shown by amazon to its prime and certified buyer.,
31,Manish,"Contains Maltodextrin, Protein content is very less per scoop",3,22-Nov-20,"Pros1. The flavor is good.2. The packaging is good.3. Mixability is good.4. It is okay for a price of Rs. 999.5. Funnily, it is enough sweet that you can use it as a substitute for adding sugar (if you have a habit of eating sugary food) because of its ingredients.Cons1. It contains Maltodextrin which has a very high GI, google and you would understand more, it is not a recommended ingredient if you have diabetes.2. The protein quantity per scoop is very less, so it might not be recommended if you have a little more experience or even for fast muscle recovery.3. Not recommended if you need insulin spike in your body.4. Not recommended for intermediate gym people.My verdict - It was good for a start but I am not gonna buy it again.If you really want Muscleblaze protein, go with MB Fuel one+.For students like me- If it is cheap, it doesn't mean it will be as effective, add 200 more and you can get unflavoured whey protein of MB which has higher protein content.",
32,Preeti,Go for beginners,4,20-Jun-20,It's an excellent product to start with protein supplement...the flavour makes it palatable.if you wish to fullfill your daily basic protein requirement apart from food you consume...go for it and you will see the results.i was suffering from excessive hairloss..one of the basic reason is lack of enough protein... although I was having eggs regularly...the day I started consuming it..my hairfall has reduced to 60%.unlike other heavy duty protein supplement this will not harm your body if you skip your workout for the day,
33,Vikram reddy,Show powder,1,12-Oct-21,"Disgusting powder ever had, got it and had 1 day in morning after workout ofcourse i had preworkout meal sprouts, evening something i felt wrong in my stomach, started to feel like heavy air is occupied in intestine and unable to get out. That feel was there for whole night. I will never use this brand in life, and i make sure no one in my friends circle will buy this product.",
34,Akshay S.,Ideal for Beginners,4,22-Feb-21,"Beginners WheyPros1. Price : You can’t complain on this, don’t even try.2. Solubility is good, decent I’d say. Mix it with water/milk and grind for a smooth shake.3. Storage : Comes in an airtight jar4. Validity : You could easily check through the code given over the lid.5. Would easily last a month for 1 heap full scoop per day, depending on the usage.6. Taste : Everyone relates to this word “Chocolate”. Not bad at all.7. Certainly the best option out there for beginners and those seeking a budget friendly deal.8. Ideal Protein Content : Around 12 gms of protein is the safest bait for any beginner. Not more, no less.Cons1. Could cause digestion problems to lactose intolerant individuals and those with any history of stomach issues.2. If you’re not working out regularly, bloating is a possibility.3. A bit on the sweeter side. I like sweet, you may not though. Try adding more water or milk as per your taste.Note : Add water first and then the powder for ideal mixing and to avoid lumps.",
35,DIPIN C,Beware of pinworms in stomach,1,21-Sep-19,"It contain 1:1 ratio of protein and carbohydratesProtein powder will be 3/4 of the container but weighing 1kg.Whenever I drunk this , i had a pin worm issues and need to consult a doctor to solve the problem",
36,Vikas,Best product for beginners,5,1-May-19,"It is the best product for beginners who want to take protein.Can be taken with both water and milk,but to cut calories better use with water. It tastes better like cholate milkshake with milk though.I would recommend to use milk at night and avoid with milk at daytime who have digestion problem. 12g protein/scoop which is good.You can feel the result yourself.It wont help much for gains but it will for fat loss if you do appropriate exercise.Mixes very well,no foam or clumps are formed.Must buy product.",
37,Vaishnavi,It works for me,4,14-Aug-22,Have used it for a month now and health wise there are no side effects for me.It has good taste and if made exactly as directed it has a consistency of a milk shake.It has also helped me with my muscle recovery.Very happy with the product,
38,Ankit maharshi,यह प्रोटीन पाउडर के नाम पर कलंक है,1,4 April 2022,"1. स्वाद घटिया2. पेट खराब करता है3. दूध में डालें तो दुग्ध फट जाता है4. कितना भी शेक करो , बोतल में नीचे जम ही जायेगा।5. पैसों की पूर्ण बर्बादी , फेंकना ही पड़ेगा।",
39,Arnic333,"WORST PRODUCT EVER , HARMFUL TOXIC",1,17-May-22,"The seller doesn't WRITE  the higher percentage of carbohydrates 45% in this SO CALLED  PROTEIN SHAKE in the written product DESCRIPTION while mentioning all other aspects in it , THE AMAZON customer service TOO IS WORST too who doesn't understand it and even don't want to exchange this with GOLD MB on we agreeing to pay the remaining amount difference.",
40,Vyshakh Unnikrishnan,Prognosis: DO NOT BUY! only 40%Whey and 60% Maltodextrin (Deceptive product description),2,21-Jul-20,"The product description does not exactly show how much whey extract is present in terms of percentage or grams. It says 12g per serving. If you calculate 30g of the substance for one serving then 12/30 is only 40 percentage whey. There are other products that exactly specify this, for a good one is around 84% or 84g per 100g. There are similar priced ones that has upto 80%. This means that the other 40 percent consists of maltodextrin which is like a filler substance that does not have any nutritional value. Do not buy.",
41,Benjamin,I feel like Arnold...... In my mind,5,8-Nov-19,After finishing the w whole pack I feel that my muscles got bigger. But the mirror refuse to agree with me.,
42,Anukriti Mishra,Very sweet taste,3,6-Mar-21,I have been using this product from 2 months. After purchasing thep product I read at Quora that they use artificial sweetener (which is also not good for body). I too feel the same as the taste is very sweet compared to the other brands. It still turns out to be a good choice as it's pocket friendly.,
43,Mohammed Ejaz,Avoid this product for those are beginners. Kindly go for some better one,1,30-Jun-21,Pls don't buy this product I have tried many products but this seems not worth it. Even the taste like dust.. Kindly go for some better one,
44,Trisha satheesh,nice but,4,9-Aug-21,"the tub is very huge but the powder is just half the tub .. but when I measured. this has 1kg so no problem ... guys go for cookies and cream .. this is so epic and frickin tasty ... obviously recommended by Indian fitness YouTubers ; SAKHET, YASH,SOURAV,SID etc",
45,Shahzer Syed,Go for it.,4,13-May-21,"In this cost this is definetly a must buy product.I would recommend to go for it.Also I am going to order another one today.There are protien with more concentration and at higher rates.I do normal exercise and I prefer to be fit rather than being a heavy muscle holder.Those who look for a combination of natural protien like Milk, soybean, pulses, meat etc and along with protien supplements to complete daily requirement of protien.This is the product guys for you.",
46,Sahil Tomar,Only 12 gm protein per serving,1,22-Sep-21,Even complan has atleast 18 gm milk proteinYou really don't need a protein powder providing only 12 gm protein per 30 gm .And for this price you can easily get around 23 to 26 gm protein per servingAlso taste bad ..,
47,aroon,"Superb results, big fan",5,28-Jun-20,"A must for every stage of strength or muscle building enthusiasts. Great flavor and consistency, excellent recovery and visible results in just one week. I have tried every brand in the market but this one has shown the quickest absorbtion and result in the shortest duration. However, you have to be extremely dedicated in your workout, push to your limits in every set and let MB work it's magic. If you are serious about getting good muscle mass and a well toned, ripped body, you should give this product a shot.",
48,Ashish Agrawal,Tasty Healthy Drink?,4,1-Feb-22,"Tasty Healthy Drink? For beginners means it has little higher calorie as per some articles but others reject for beginner word as marketing fad.  Q mark because I don't like someone saying NO ADDED SUGAR and have sweetener added. I mean common. Otherwise it's whey, high in protein and chocolaty sweet and tasty. It's working well? I guess so. Don't wait just give it a try",
49,Ishant singh,I am using it since last 1 months.,3,29-Jun-21,I'm using this product it since last 1months. Basic results. Of course velu for money. Flavor is good. I recommend purchase this product,
50,Mallaksha S.,Tastes very very bad and bitter aftertaste,2,18-Aug-22,"Buy Cream and Cookies flavor, that is way tastier and tempting. This mango flavouris too much overdone, fragrance is too too much and it has a bitter aftertast.  I used to buy Cream and Cookies, that was much much better. Tried mango flavour for a change,regretted it. Cream and Cookies jindabad.",
51,Aruna,Just the perfect protein supplement for beginners,5,3-Aug-22,I restarted a protein supplement after a break of few years. A dear friend recommended I restart with this and I am happy I took her advice. The flavour is great and it mixes easily with water. I have just started on it and will come back to write a detailed review.,
52,Tracy,Totally worth it!,5,3-Jul-18,This is great for losing weight. It mixes with both milk and water completely and quickly. I like it more with milk though.I have been having 1 scoop a day with 250ml of milk pre work out of 15 mins and I lost 2 kgs in 11 days! It does not have a bad after taste. Its also great for all those times when I feel too hungry and weak to get out of bed because of my thyroid problem.Just one gulp fills me with energy to happily start my day! I simply cannot live without it. It has changed my life!,
53,Anshuman,Great!,5,24-Mar-19,"I've never had Whey Protein supplement before. I don't know whether all of them are this way but the first impression was certainly good.The product came in great packaging first of all and the inner seal had an authenticity code mentioned.Secondly, it's aroma and taste is awesome. I'm wondering how's something so chocolaty supposed to build Muscle.It had a scoop included. The only thing that I'm uncertain about, is whether it's really 1 KG in quantity because half the Box is empty. Apart from that, everything's awesome",
54,Bhanu,Dont but with shaker,4,7-Jul-19,"Powder is tasty but the Shaker provided with this is not even good, the lid did not close properly and spilled the dunno",
55,Shoma Sen,Perfect. Go for it,4,11-Jul-22,I ordered it for my son. He loved the taste and consuming it for daily protein needs. Just add milk or water and shake...its ready.. chocolate flavour tastes smooth,
56,Ravi kumar Raj,High cholestrol !!,1,17-Jan-19,Guys dont buy this bcoz more than protein it has high carbohydrate and cholestrol ..check the nutrition value before buying any whey protein..you can go for other muscleblaze whey protein which has less cholestrol and carbohydates,
57,Tamil selvan,For begginer good 😁😁😁,4,15-Jul-19,"It is geniune product, container is big( it can hold more than 1kg ) chocolate flavor is good but it got artificial sweeteners so it is not that much healthy to an extent but for a short run good , protein source is whey after useing it better going for raw whey protein is good as it doesn't have  any artificial sweeteners and flavors but only digestive enzymes for easy digestion ,I tried with milk it is so good use with milk as the protein percentage is low (12%)so go with milk ... over all a good protein powder...",
58,DK,Nice product for beginners.,5,23-Oct-19,Its my first time for the MB. Im an amateur. Dont do proper exercise. Hope this will help me to gain some muscles..,
59,Sumeet V.,"Packet is air tight, that's good",4,28-Jul-22,Any flavor is good rather than unflavored.,
60,Jatin Lodhi,Don't Use.,3,1-Jul-22,"I'm saying this because the protein type is not different for beginners & Pros.You can go for another protein powder which have more protein per scoop.This product costs approx Rs 1300, you can add Rs 500- 600 more and get a good high protein powder, which will help you to complete your daily protein requirements.",
61,mohit Vashisht,Satisfactory results,5,7-Sep-18,Great product to combine with regular fitness. As it might not give result very soon so give it a littletime to adjust with your body. It works best almost comparable with other popular product (ON),
62,Prasad Dumbre,Shaker bottle leaks,3,16-Sep-21,"Protein powder seems good but shaker bottle is not much of use. Can not hold liquid tightly, if you even try to drink it without shaking it leaks.",
63,Sanju Sukumar,Tasty & Mixes well!,4,30-Oct-18,"First of all it tastes super yummy. Not at all bitter which is the problem with other chocolate flavoured prlteins. Secondly it mixes very easily. The consistency is also smooth. However , Sucralose makes it really sweet whereas the package says there's no added sugar. Its understood tht sucralose is an artificial sweetener not sugar but where it says ""no added sugar"" it should be printed in brackets that sucralose is present. The results will be noticed later.",
64,jahnavi(9866282486),"The box is soo big but we get half of it ,,liked the product and flavor just an isue with quantity",3,16-Dec-20,I liked the product but the box is soo big but it just comes half of it not sure about the weight I didn't have weighing scale this is only an issue pls increase the quantityAnd all is good,
65,Vishnu soni,A real whey for The Bignner's,5,6-Jun-21,The best protien suppliment for bignners.Bcz it only gives 12gm of protien thats the only need of a bignner.As last tym i was using the normal whey which comprises 25gm of protien which cases sudden changes in my gastrosystem bcz i was not adapt to such a heavy dose of protein. (when i will adapt to that i will go for it)Also the MB send me the another schache of Biozyme whey protein.Thanks MB for that!!!,
66,Santosh Kumar,"Bang for the buck, authentic product and lovely taste!",4,27-Mar-19,"I am totally in love with this Whey Protein powder from Muscle Blaze; the taste is so yummy and similar to a high quality chocloate milkshake. I believe this is an authentic Muscle Blaze product and all the people posting reviews  questioning the authenticity and pointing at the molding mark on the bottom of the box really ought to stop being so ignorant and read the product description on the images. Coming to the nutritional value, the protein content is pretty good for a beginner like myself although I feel the Carbs are slightly on the higher side but this is definitely still the best sugar free Whey protein product currently.",
67,Anima,Good protein powder,5,8-Jul-22,This is my first time using a whey protein powder. It has a good taste. I bought chocolate flavour but is a little sweet. Scoop is also included in the pack.It is an authentic product. You can scan the QR code mentioned on the pack.,
68,Pradeep,"Low quality, not soluble",3,20-Jan-19,"It's one of the cheaper whey brands in market, but thats for a reason. Per gram of protein its as costly as other brands. Few issues in the product:1: Low solubility - shaker alone wont be sufficient, you'll have to use a mixer2: Low protein content - 50% of weight is in carbs, so double the price and that reflects true cost of product3'; taste - very sweet for my liking, has to do with 50% carbselse, product was authenticated, packaging was done well and delivered on time.",
69,Raj,Don’t purchase the cookies n cream flavour,2,13-Aug-22,The taste is really bad for cookies n cream flavour if u really want this product go for chocolate flavour only other flavour are really bad n i. Don’t think so it’s really original I get bcz it’s look like a normal power smell bad bcz I already use many time chocolate flavour that’s why I know this I think I got duplicate product I got some stomach problems after this which I never happen while chocolate flavour so at the end never take this cookie n cream flavour it’s really bad one 🤮.,
70,Samee-40,Geniue product choco flavor,4,5-Jan-19,The product i received is genuine product.  Intinally I had a doubt whether this would be a geniue product I could get.  After receiving this package I was convinced.  The taste is OK you get a flavour of chocolate. But use this along with a milk tastes good.  I tried with water as well. Depends if might or may not like depends.  Welly use this drink in a shaker and carry along and I drink after my daily jogging. Overall I am give 4stars.  Well after  I  get results using it I can rate high.  But yes overall I m satisfied,
71,V7_only,Too sweet,3,16 April 2022,"The mango flavor hurts the most- too sweet, as if sugar is added (in excess)🤮. Overall, fine evenness is what I like.",
72,Ravi S.,Protien is less carbohydrate is more.,1,24-Jun-22,For 30 gram it provides only 12GM of protien and 13.2 GM of carbohydrates. So it will not helpful to get lean muscle. Instead of shredding money on this better take 2eggs will get 12GM of protien ofBiginners take eggs rather than this.,
73,Deepak Chawla,Unable to get rid of lumps,2,12-Jan-21,"The taste seems to be different as compared to others. The major issue is that it is very difficult to get rid of Lumps once you mix the powder im water. I have used Himalaya Quista Pro, yeah price is more but quality is far better than this.",
74,DEJAVU,It’s actually for beginners,5,24-Sep-21,Awesome product but don’t use if you not do workout. If you take this casually you will notice that it was still in your tummy and you feel full.  Otherwise nice for beginners. After this you can surely upgrade your whey protein and go with higher or pro series’s with same brand.  Nice protein for beginners by muscleblaze…🔥🔥,
75,Collin,"Good , but we aware",3,22-May-21,"Its good the product is wonderful , but muscle blaze should have put a disclaimer saying this could be harmful for people with a history of gas and acidity because blueberry is an antioxidant.... i would suggest to get the other flavours if your usjng it as a pre-workout. If your thinking of having it as a protein shake after meals its all good",
76,Harsh Pandya,Must have protein for beginners,5,25 April 2019,"Kudos to Amazon for fastest and safest delivery of the product. I've used this product for a month and am quite satisfied with the results. I was quite lean, but gained some weight and muscle mass after using it for a month. The flavor is good but not addictive, someday you'll feel that you should drop it for a day, but trust me, carry on as long as you can. And exercise is must, if you don't move a muscle then don't expect the protein to work properly. Cheers to Amazon and MuscleBlaze!",
77,Rahul.R,Good Muscleblaze bang for buck,4,20 April 2021,"All well product was fine, certain times when mixed with milk it starts rashes as it causes heat in the body, apart from one outbreak all well and increased energy Levels, was apprehensive at first but my goodness this is a boon for beginning gymming journey.",
78,sumit,Mostly Carbs,2,16-Jun-21,"They're highlighting Whey in the Product title, but it's just 12gm whey compared to regular 24gm in other standard Whey Proteins. It should clearly be mentioned in the title that it's a Protein Carb mix",
79,Amol Ramani,The benefits of protein without the obnoxious taste.,5,17-Aug-21,"This is one of the best protein flavours by MuscleBlaze. I used to have the chocolate one before and that was also pretty nice. But this is a completely different experience. Makes it easier for me to gulp down my post workout drink. Give it a shot, if you liked Boomer and/or Big Babool as a kid, this is sure to make you feel nostalgic. Thumbs up from me! :)",
80,Rohan Mogale,5 ⭐️,5,13-Jun-19,"Been using this for Several months, and it helps me to get that protein content after each workout.The results are staggering from this product at such a low price.Give it a try and check if it works for you as well. And bear in mind that using protein alone doesn’t provide you results, it has to be accompanied with intense work sessions and Dedicated diet.",
81,DILIP MOHANLAL VADGAMA,A good protein source for vegetarians.,5,3-Mar-22,The flavour and test is good. It is good source of protein after workout for beginners. Also vegetarians can use it as a protein supplement,
82,MLVN,"Good deal, worth the money.",4,11-Jun-20,"One of the best protein powders in the market. I've seen notable gains in one month after consuming this product. It's not adulterated guys, it's the best whey protein in this price range. I will surely recommend this to anyone who is into fitness.",
83,Shikhar v.,amazing product!!,5,4-Feb-21,Perfect powder for a beginner..... Doesn't have any side effects..... I love it.... As a beginner I was afraid about the side effects..... But honestly.... This product doesn't have my side effects.....i loved it....It's easily digestible and tastes good.U will not regret buying this product if ur a beginner.,
84,Pulak Sir,Don't buy befor Dr consultant as this can çramp and bloating,1,27-Jan-22,Artificial colours and flavours added and so you shouldn't buy. I am suffering from Bloating and cramping on abdomen and loose motions.,
85,Rahul T.,Nice Product.,5,31-Aug-19,"Very nice taste and authentic product. Nice to See Muscleblaze team invested in ensuring authenticity of the products via unique code and all.Product wise it’s good for beginners satisfied with the results, waited for the entire box to be consumed to give my review.",
86,Gurjeet G.,should be title as fraud for beginners,1,31-Jul-22,"It's kind of fraud for beginners as it contains 12g protein and 12g carbs. BETTER TO TITLE IT LIKE PROTEIN BLEND (MIXTURE), smells like milk powder, and it's CONCENTRATE not ISOLATE. Don't use the habit of mixing things for profit and selling at a higher price with title and brand.",
87,Poulomi Mukhopadhaya,Excellent product,5,23-May-19,"My son has been drinking  ""MB Beginner's Protein"" for a week now. Though, the results cannot be aparent in such a short duration of time but, he enjoys his daily glass of this drink... and we as parents are hopeful that it would be beneficial for our son's health in the near future.",
88,Prakash,Reviewing after completing in pack..ordering another one,5,4-Oct-18,Awesome taste of chocolate and effective as workouts improved to the best..Must drink with milk for best taste.Sometimes its difficult to mix properly but thats oky.Must buy fot muscle training,
89,Klans,Good whey protein,4,2-Jun-22,"Few months ago I have orthopedic surgery. my age 28y that doctor recommend me take huge amount of protein. Than I take this product l, this is best for me !!Thanks!",
90,Shripad Lale,Horrible taste,2,11-Nov-21,It is like drinking something that came out of a chemical factory! Leaves a bitter aftertaste in the mouth.Will never buy this again.,
91,Mohammad Sameer Ansari,Effective..,5,12-Nov-20,Ya it is effective..Flavour is awesome for me..I gained weight after consuming this product..I can surely say it is genuine products.People may worry bcus its lower portion of this muscleblaze box joint is rough so that it felt that someone have frauded but this is manufacturing fault..,
92,Rishi Kavathiya,Best result in 2 months.,4,27-Feb-22,I used this product from last 2 months. Thanks to muscleblaze for helping me to reduce my weight 96.2kg to 88.65kg weight in just 2 months rip for nutrition centre whose told use for reduce the weight without exerice.,
93,Raghav,Really good product,4,8-Nov-21,Tastes GoodMixes well in waterProvides with protein  needed for beginners,
94,Dherendra Singh,Great supplement at affordable price,5,11-Jul-20,It's a very good product at an affordable price.I am writing this review after using one jar. This was my second one. I am fully satisfied with the product. It gives strength and energy as well.,
95,Sudhanshu Kanwar,Stomach ache after 1 teaspoon everytime,3,8-Oct-21,"For 1 week after exercise, I take 1 teaspoon of this. But from the second week onwards I started to feel stomach ache and indigestion after consuming this.",
96,Tanweer,Amazing Flavor,5,13-Aug-21,"Mango taste jus Ammmmmazing..Wud not pick any other again, jus this.. ❤️",
97,Amazon Customer,Insoluble in water,1,29-May-21,"Doesn't dissolve in water, so it feels you're having to eat the protein powder with a spoon in order to consume it. Thoroughly bad experience, wouldn't recommend it.",
