name,title,rating,date,text,helpful_vote
rahul joseph R,FAKE! OPENED AND REPLACED.,1,22 April 2021,"The media could not be loaded.
                
 I GOT A PRODUCT THAT WAS OPENED, USED AND REPLACED WITH SOMETHING ELSE.SO WEIRD, IT SMELLS LIKE SOAP. IT WAS TAPED CLOSED TOO. THIS IS A SERIOUS MATTER AND HAVE TO TAKE THEM TO COURT.HAVE PURCHASED IT BEFORE, FIRST TIME BAD EXPERIENCE.",
Aakif,Fake WHEY,1,22 April 2020,Fake product.It is like Horlicks energy drink.Not WHEY at all.Forms lumps when trying to dissolve.Extremely sweet.,
Saad Ahmad Khan,Bigmuscles claiming 71% and giving 30-40% protein in relaity,1,22 April 2022,"The media could not be loaded.
                
 Unfortunately I’ve been using bigmuscle product since last 2-3 months because I ordered a 2kg and 1kg pack together and it was the biggest mistake of my life. Upon mixing the powder with water it forms a lot of froth and almost 3/4th of the powder turns into the froth and then you have to wait for at least 30 mins for froth to settle down. And I was not getting any visible result using this product so i did some research and found that the labdoor has revoked their certification. So i got curious and saw some videos on YouTube where most of the people did the lab test of the protein and found that this powder only provides 30-40%(10-14g per serving of 35gm) of protein on dry basis whereas it claims almost 71% protein on there label. Maybe this is the reason labdoor has revoked there certification. I hope my review helps you to decide whether to buy this product or not.",
RAHUL LOHIA,Mixed and fake product,1,13-Oct-20,"Plz don’t buy this product, this is not original nd I understand it is verified by let’s verify app I used it and there is no results from this product. Even my friend who is doctor he tested it and there is lots of chemicals in it and it is fake protein even I also done the Protein adulteration test. This product is totally fake.",
Manprem Singh,Big muscles Gold Whey- Worth Buying,5,31-Mar-21,"This is my first experience with the big muscles; quite an helpful protein. The 25g protein after my workout, gives a solid pump to the muscles. I am liking the taste and the mixibility of the product. And the protein is easy to digest. Surely gonna buy it next time.",
Rohan Puri,Eihter refund or provide orginal protein,1,6-May-21,First of all an artificial sticker paste on the box as you can see in the pic.secondly this is not a cookie and cream falvour...there is some other flavour inside the box...i am using this protein for a long time...the quality of the protein is not upto the mark.It seems that we are consuming powder...kindly take it back,
Rishabh,"Pathetic product, bad taste , Donot buy, Not suggested for even my enemy",1,10-Jan-21,"Pathetic taste and literally no results provided.No side effects as such till now, but no recovery provided after the workout.I have merely 8-10 scoops remaining now and I have no scope of buying it in the best future.Big loss of trust from such a reputed brand who keep the likes of Ranveer Singh as their brand ambassador. Bringing more shame to the Indian Protein Supplements .The only silver lining in this combo was the pack of Creatine that came with it.",
Raghavendra M,"Taste is really bad. For taste issue, this item is not returnable on Amazon. Don't but it",1,18-Jul-20,"This is one of the widest tasting whey protein powder ever.They say it is blend of whey protein concentrate and isolate, I don't know how it can contain only 25g protein per 35g scoop.A completely waste of time and money. I would recommend muscle blaze products. They tastes far better.",
Syed Shahbaz ali,Worst Protein I have ever Used,1,12-Feb-21,"This is worst protein I've ever used. Let's talk about:1st Taste is very Horrible and it taste like Medicine2nd This protein is not digested easily.  After having this protein , I'm facing issues like bloating and gastricBefore this one i have used Muscle Baze Fuel One , that was also of same price 2299 rs and it was good proteinSo, In my opinion if your budget is tight , then go for muscle blaze or any raw whey protein",
n,taste might take while to get used to,5,17-Aug-20,"i did notice the taste of this powder is a bit different than other powders(not in a good way), but i use this only to make protein cakes and not as a post workout shake, and that this powder does better than muscleblaze, so i will buy this again, but will not recommend as a primary protein shake to anyone",
mohit verma,BEWARE BLOOD PRESSURE PATIENTS  - CAFE LATTE IS JUST  BITTER COFFEE POWDER THAT RAISED MY B.P..,5,5-Aug-21,BEWARE BLOOD PRESSURE PATIENTS  - CAFE LATTE IS JUST  BITTER COFFEE POWDER THAT RAISED MY B.P.  COOKIES AND CREAM was good . ROCKY ROAD & BELGIAN CHOCOLATE  FLAVOURS JUST OK TYPES. HI . I have been using this WHEY PROTEIN since November 2020 . It's a good PRODUCT but  I used cookies and CREAM & Belgian chocolate that seemed good.  But in August 2021 i ordered rocky road flavor.  I swear it's not good & u can feel the muddy crunch while drinking it & that's very irritating.  ABSORBENCY IS OK OK.  BEST FLAVOUR is  COOKIES AND CREAM.  Worst flavour - BELGIAN CHOCOLATE. DANGEROUS FLAVOUR IS  CAFFE LATTE.  Well now about the whey protein  -  It's helping me in getting LEAN MUSCLES.  KUDOS TO MAKE IN INDIA PRODUCT.  JAI HIND  - MOHIT VERMA. ANOTHER  Update - ORDERED 500 GRAMS STRAWBERRY MILKSHAKE FLAVOUR  - it's amazing,
Amit Sharma,"Pathetic Taste, fishy product.",1,6-Aug-20,Taste is pathetic to say the least. There are several great options available at this price point. I think Big Muscles should work on their product rather spending money on Bollywood Celebrity endorsements.,
Sumit,"Review padhlo, dil se likha h",1,19-Sep-21,"This is for all those in search of genuine review.Taste is horrible, I've used musclebaze, prostar ultimate nutrition, Zomato whey... They all tastes good.This one's horrible with taste, raw hi lelo isse acha, foams itne h ki khatam ni hote, chahe 4 bar pani daal lo shaker mei... Foams khatam ni hote.As for the results, zero visible results, saste hai, acha nahi lekin.Kam paise h toh diet achi karlo, eggs n chicken.Paise h toh ON ya nitrotech jaisa koi acha brand lo... Paisa faltu ka ni lete wo, yeh toh saste k naam pe loot rahe hai",
Yogesh,This product is a scam,1,4-Jan-22,"I am into serious bodybuilding and only buy certified supplements from offline stores. After a lot of thinking I decided to buy products online especially with the deadly pandemic on the loose. It's easier buying online but what if you don't get genuine products? I saw that this protein was Bestseller and recently certified by Labdoor which is a recognised certification organization. So I bought a 1 kg pack in Belgian chocolate flavor to try out and I’m so disappointed with the product. According to the brand’s claim after a lot of research and reading reviews, the protein they are offering per scoop is not that what is available. This is fake completely. The real protein content is very low than the claim by the brand. It provides only 13 g protein in 35 g serving which is not useful for me at all. How can Labdoor certify such a product? There are much better options in the market than to consume a subpar whey protein. Highly disappointed with the product. Am a bit confused now, is it a fake or a real product?",
Ritwik,Bigmuscles cheating people left and right (Only 14gms protein per serving),1,26-Jun-22,"Please avoid at all cost. I made the mistake of going for this because of the product being number one on Amazon and also because the company claimed 25gms of protein per serving. Little did I know that such big companies lie so blatantly with their nutritional facts (and claim FDA approval). Any lab test proof you'd find for this brand would show you how big muscles is cheating customers by providing barely 14gms protein per serving as compared to the claimed 25gms. I switched from muscle blaze fuel one (which gave me great results on just a single serving per day) to bigmuscles and consumed 2 scoops a day for 25 days with a proper training routine and I made so little progress. It hurts me to see how an Indian company with Bollywood figures advertising them, are cheating people. What surprises me is that no action has been taken against these frauds. Amazon needs to act up and provide justice to every customer like me that has been cheated by this company. I would highly recommend to spend a little extra and go for proven brands.",
Adi,Not a good choice at all,1,4-Jul-22,Please do some research before buying this product.amount of protien is too less compare to otherbrands.many youtubers have tested it in different labs and uploaded the certificates in google.pls go through it and think twice before buying it.it contains only 35 to 45 gm of protien in 100 gm.they are nicely cheating their customers.intead of doing add with ranveer they could have brought quality to the protien atlest.i am using it since 4 months and am not getting any result when i am comparing with my workouts.then i did more research on this and i found the scam.And one important thing  is that they are simply mentioned that it is labdoor certified.you can directly go to labdoor website and check it.here i am attaching the screenshot,
Amazon Customer,Fake one,1,10-Mar-22,"The media could not be loaded.
                
 Original comes with BM branding on the cap also.. Doesn't accept on let's verify too.. Amazon soon you will loose your credibility.. Don't sell fake products",
Bhaskar Reddy,Best product,4,11-Jul-22,I saw many reviews about this product complaining about the taste and quality and getting foam in this protine power....I already used MB compared with that this is the best protine powder and I'm not getting any foam I tested a lot to see how much the reviews are correct about this product and come to taste. I ordered smooth banana flavour and the taste was really great. And the quality of this product is superb ❤️❤️ and I loved it result of this product is simply superb,
Dr Chetan Solanki,Value For Money,5,6-Mar-20,"Nice taste, mixes well, No bloating feeling .... overall nice product !!",
Rachana,Not recommended to buy due to mixability,1,14-Aug-20,Mixability is very worest....even I can't assume a suppliment from bigmuscle.... totally lumps and sweetness is not distributed to entire drink.....till now I never before faced a situation with any protein suppliment....Mixability determines absorption rate by body....Not recommended to buy....Totally waste of time for a gymmer than money,
Nayan momin,"Taste, value for money, beginners",5,29-May-21,I am a beginner.. started going to gym few months back and needed a good source of whey protein. I have used ON whey isolate.... but wanted to try other brands but wasn’t sure about the quality. Then i went through many brands and ultimately decided to order big muscles whey protein -cookie and cream flavour. The taste is good.... consume right after workout . No bloating or abdominal discomfort... you should give it a try,
Arshad choudhury,Very bad taste,1,23 April 2021,"Really disappointed with bigmuscles whey, this is the third order and every time there is a changes of quality, please maintain the quality and taste so that people get faith on your product",
Abdul Razaq,Best product to scam Indian youths!,1,12-Aug-22,1. Don't buy this product. Its fake. Company claims 25g protein but lab reports by many youtubers shows 14-15g (you can check youtube).2. I've been using since 5 months. But no results.3. Recent one which I bought had foul smell and bad taste compared to earlier purchase. Even mixability was not good. After consuming I experienced food poisoning. Even my friends experience the same. So I contacted the BigMuscles  through mail for replacement/return. Its been a month and no reply from their side even after 4 mails from me.After that I watched many youtube reviews on this product. Finally realized I'm scammed.If you value your health don't go for this product.,
Manas Kamboj,***Go for it guys***,5,17-Jul-21,"The media could not be loaded.
                
 I am writing this review post 1 month of consumption, the product is very good, helpful in gaining and leaning both. You can use it with water or milk. There is no lump and Belgian chocolate flavor is my favorite. Any age, any body can consume it. This is our daily basis protein need.I am writing this review post consuming 2 kg of it, the biceps size increased from 12.5 to 14 inches. Without listening to anyone, go for the Belgium chocolate , 1 scoop for beginners and 2 for regulars a day with 600ml of water.",
Mahendra Singh,It is very good source of daily intake protein,5,3 April 2021,I have purchased this product from Amazon Platform . This protein powder is very fine powder and very smooth . The flavour of the Protein Powder is very good .This protein powder is quickly mix in milk and water and the packing pouch has very actractive look I have consume this powder and this feel well and it is very energetic . As soon as I have consume this protein powder I feel very good and enegetic . This protein powder fullfill my daily protein intake by 40% .I will suggest my friend to buy this product also,
Saransh Yadav,Horrible belgian chocolate ever!!!,2,15-Nov-21,"Here are the list of things wrong with this Whey :-1. Mixbility- take out a scoop and put it in the glass and add water and you can see lumps and lumps floating on water. Poor mixbility, have to really shake in the gym shaker too to have consistency.2. Taste - horrible ever tasted whey in my life. Tastes like rotten chocolate milk, with extra sweetness.3. Effectiveness - been using for  few days now, forget about feeling it in the muscles after a long strenuous workout, I doubt it doesn't even give you the required bcaas or other claimed nutrition as on label of this whey.Lets not be fooled by R Singh endorsement and buy this. Its a garbage product. They are high on marketing and zero on product research and development. Big Muscle should consider putting more on product betterment than getting endorsements by A listed stars. At the end its the consumers who need to be happy not your bollywood celebs.",
vipin,DO NOT BUY PROTEIN FROM AMAZON,1,3-Aug-21,"DO NOT WASTE UR MONEY ON THIS SO CALLED WHEY PROTEIN FROM BIG MUSCLES WHICH ABSOLUTELY WORTHLESS. Taste issues mixability issues, garbage in a in form of powder. PLUS AMAZON CALL CENTRE FOLKS WILL NOT ACCEPT ANY RETURNS THEY WILL ASK U TO CONTACT BIG MUSCLES DIRECTLY AND WASH IFF THEIR HAND!! RIDICULOUS CUSTOMER SERVICE FROM AMAZON!!!",
Shubham Jain,Fake product received.,1,15-Oct-21,This is me tring to post this review 3rd time.Amazon simply is not letting me.I received a fake product with No BM sign on head & foot.Tarte is totally different. It is nothing like my old original BM protine.Amazon is not helpling me.Please return this.Update: Still no help from Amazon & from seller or manufacturer too.Total waste of money. Really unhappy with amazon.,
Shubham,Overall It's Value For Money,4,5-Oct-20,I've been using the product for few months now i haven't seen any significant difference on my muscle size but it definitely gives me more energy when I workout the flavour is average and overall is value for money i know my muscle wouldn't grow miraculously let's hope to get best results after consistent use.,
Amarjyoti Sarma,This is good.,4,29 April 2022,"I cant say if its better than its counterparts from muscleblaze. But, i like this. I used muscleblaze whey energy, fuel one, 80% concentrate, 90% concentrate. This one is at par with them. I like its taste and solubility. It hasnt caused me gas. But remember, this is a supplement. It supplements your food and not an alternative. Its not magical and wont work without proper nutrition from real food. Dont over consume it as it may affect your kidney. Drink lots of water. This is good enough. Dont waste too much money on expensive alternatives.",
Krishnov chakravorty,Product review!,5,18-May-22,"First of all the taste of the protein!So I bought Belgian chocolate flavor 2kgs ,First of all I opened my LetsVeriFy app and was kinda skeptical from the packaging of the product but when I scanned the Barcode and wrote the 5 number pin on the lid it was valid and 100% real ,Then the taste I’ll give it a 7.5 out of 10 it was good there were so lumps in my protein so that was good ,no side effects or indications of diarrhea!But if you are lactose intolerant then I’d prefer u guys to have the protien with water instead of milk !So overall I’ll give the protein 9/10..Should You buy it?Hell yes!Worth every penny!..Is the product real?Most of them are real but if you are skeptical just scan before u open the product if it’s not return it!but it always comes real tbh!..Any side effects?Nah..Ignore all the negative reviews all the negative reviews are from ppl who just started bodybuilding and expect quick growth!Been doing bodybuilding from the past 7 years so trust me this protein is worth it!",
Suryapratap,One of the best for intermediates,3,3-Nov-21,"I'm using this product for about 1 year or more. I can say that this brand is working hard to improve there products. When I started using it, it was the most adorable whey protein which also tastes good. Considering the results, if it's pure whey, irrespective of brand it will give you the results. It's a myth that results vary from brands to brands. Actually the quality varies from brand to brand which ultimately impacts results. Anyway, talking about this bigmuscle's whey, the advantages are it's affordable, tastes good, it's a blended Protein and most importantly we will rarely encounter fake or duplicate product. In some case I found the product suspicious, but no worries. I just replaced it easily.For beginners and intermediates, this is the perfect one I can recommend.",
Shushrut,BUY! BUY NOW!! KEEP BUYING THIS!!!,5,6-Mar-21,"By far the best protein drink I've had. It has the perfect flavour, perfect mixability and the perfect combo (since it comes with creatine).I've tried MB, Quista and Sinew, they all have an artificial taste for the chocolate flavour. But this one has the best taste of them all. It tastes very natural and doesn't have a medicinal smell.I needed to buy a shaker for Quista as it used to not mix properly, but you can mix this with a spoon as well. It tastes great and no additional sugar required.The fact that it's so cheap and also comes with creatine is unbelievable. Go for it if you find this anywhere below ₹1500.",
Neetesh sharma,I don’t trust the brand.,1,6-Jul-21,"Again i was lured by the aggressive pricing and thought of giving it as try, i intended to use it as my secondary source of whey but i don’t know for some reasons i have trust issues with the product. There is this pungent chemical smell whenever you open lid of the box. Couple of times i used it and you may call it mere coincidence but stomach some what revolted.  I would stick to reputable brands only going forward.  Not using it anymore.",
Vikrant Ninawe,Cheap Product,1,23-Nov-21,"I have been taking this protein continuously from the last 5 weeks,But consuming it doesn't make any difference,Instead, my hair is starting to fall out,I am stopping this protein intake immediately,Friends, don't empty your pockets with cheap things.A little money will go a long way but for better results use a better product,Don't take this product. It contains nothing but milk powder and a little chocolate flavor.",
paras,The most fake company and fake Protein content,1,23-Mar-22,Beleive me guys this product is so third class that I bought it 5 months ago and still whole box is as it is with me I took 1&2 scoop and came to know the quality of that powder... It tastes like a milk powder and even in my test report there was only 16gm protein and look what this stupid company has mentioned 25gm protein everything is fake about this product so don't ever try to buy this product,
sajid,Read carefully,3,25-Nov-21,"This protein which comes from big muscles claim in ingredients tht it contains whey protein but the question arises is it really having whey protein, guys try to understand u can test it for protein but u can not say which kind of protein is inside box,as I am intolerant to eggs when I consumed this protein the same happened to me like I had consumed eggs it was hurting a lot in my digestive tract,as I hv already used whey protein of asitis,on,but in this case I found something strange, finally I will say one thing go for natural and take tht protein which will suit u.",
Sourav,VFM Whey Protein Powder,5,23-Oct-20,"its a Authentic product ,you can check if it's genuine or not ,instructions provided on the container . And coming to the product, its good for beginners like me , tastes ok and mixability is also good ,no lump whatsoever .Pros25 gm of protein per scoop with 5.5gm BcAA for this price is amazing. AffordableGood mixability and frothConsTaste could have been better",
Batman,Only the first half is good,2,31-Mar-22,"Guys seriously do a good reasearch on this product before you buy it, the first half of the dabba was pretty much good it had a smell of chocolate and taste was ok too but as i have crossed the half dadbba now it smells like milk powder and mixablity gone terrible too there are other low budget whey proteins go for them",
Nitin Kumar Singh,Not worthy,3,24-Sep-21,"I used muscleblaze whey protein for around 2 years, recently when i saw that big muscle whey protein comes relatively in lesser prize i chose to give it a try, but after finishing the whole dabba of this protein i can say this is a useless product, my muscles mass decreased in a month though my training and diet was the same.  Hence i would suggest not to repeat my mistake, don't fall for the cheap prize cuz its about our health and fitness.",
Ritu Arora,Pathetic quality never buy bigmuscles products,1,19-Jun-20,Pathetic Product never had such a low quality protein in my lifetime. I had used almost every brand bit this product is total waste. Water and protein gets separated when mixed and never dissolves completely even after shaking it hundreds of times in shaker,
Ali Mohsin Shaikh,High Quality Protein,5,13-Jun-21,Ordered this 500gm pack for try it first before ordering big one. Tried for 8 days now and will be ordering a big pack as i am fully satisfied. 25gm protein per serving is very nice. And it also have 5.5gm BCAA per serving. Best part is it have no added sugar. Also it has blend of Whey Protein Concentrate & Whey Protein Isolate unlike low priced protein which only have Whey concentrate. This is a high quality protein and also have a good price point. Also Rocky Road flavour is awesome.,
Vir,A bit disappointed in the quality,3,10-Jan-22,"I've ordered this protein supplement about 5-6 times, and half of the time I received a product that was terrible even though it was properly sealed and everything. It was clumpy, tasted and smelled awful, like it was decaying or something and I had no choice but to take it as I can't return an opened item and I can't reorder everything this happens cause I ordered 2kg one which over 3k inr (yeah, what a loophole). Honestly I expected a better quality control for a 4+ star rating product. Gonna go with muscle blaze from now on.",
Ayesha,Not so good in taste and Pathetic seller,2,12-Mar-21,"The flavor feels like artificial, though the product feels like authentic and varified using the code provided. The seller have sent wrong product 2 times, though i have paid for CREA of 34 servings, they have provide bcca of 4 serving. I have replaced 2 times and everytime same, cheating in the item/quantity in the combo offer.",
Manish,Bigmuscle rocks  Amazon is 5 * for efficient delivery... and best price make it best buy,4,10-May-21,"A very good and economical product on the shelf in the market.Blends well , taste and smells like coffee candy which feels really pleasant.I have consumed it with water, with milk , also blend it with milk and oats in breakfast as pre workout even post work out.. its can suit to every requirement.Best buy for beginners and limited budget pros. I also received  creatine monoxide as a bundle freebie..",
BRD,Not Recommended at all,1,22-Jun-20,"First of all I got the caffe late flavour even when the outside box mentioned that it was chocolate flavour, and it is too sweet because it has artificial sweeteners in it, it's also mentioned on the container, but seeing the amount of sweetness, the sweetness is just too much, the quality is just unreliable as they are putting wrong flavour in wrong container, it also has other filling ingredients. Won't buying it again for sure.",
Bhupesh Nagar,Taste not good,1,12-Sep-21,"Starting from the taste it is not at all good rather one of the worst I have tasted, you will taste a bit of milk powder. Mixibility is also bad after 1 minute of shake it still have lumps stuck with the shaker. Froth is extra ordinary thick and will not settle down, so u don't drink a shake but have to drink the froth.As far as results are concerned I have to update it after some time.",
Saurabh,Don't Even Think Of Buying it. Worst Product 😡,1,23-Oct-20,"Damn it's not an authentic protein,big muscle is just fooling the customers with the discount. It smells and tastes so worst! It's flavour doesn't even feel like drinking protein, and I even the the quality of protein is not good. It's like some milk powder mixed with atta. Didn't Expect Such A poor product from well known brands big muscle and Amazon.I want Return For the Product.",
Mohammad Zain,What happens when you don't know anything about big muscles,1,28-Jul-22,When I bought this product first time it was quite good and then I thought to buy it again but the second time when I bought this Belgium chocolate flavour I was really upset because the mixbility was not so good and it has small pieces of stones in IT firstly ignore them I thought I am just being to careful but when I use this consequentively regularly the small pieces of stones are coming in every scoop i don't know what the guys are selling but I honestly honestly tell you to not to buy this product and don't get to greedy about the price because they are not selling what you guys are thinking.,
MADHURJYA PROTIM BORAH,"Good, Certified and pocket friendly",4,12-Dec-21,"Firstly coming to its taste, I ordered vanilla flavour everthing is fine but I found the sweetness bit more for me. IDK this may be because earlier i used their raw isolate whey. But in my point of the sweetness is more.2. Mixability is good.3. Packaging is good.But yes in the container they have not printed the labdoor stump idk is this because the product i received is from previous batch or its like this only any ways this is not my concern because I have gone through the report in labdoor site.3. Doesn't feel bloated.Its been 2 days after consuming for 1month i will update my review...",
Biryani Hut,Inefficient,1,9-Aug-20,"Mixability is not so good  but the major problem is lack of Digizymes.Hence not so easy for beginners or people who will be using whey for first time & may cause bloating.Big Muscle Taste is decent, packaging is good butDigestibility is truly not so efficient compared to other brands.Better go for ""My Fit Fuel Advance 100%""",
Samrat,"Disgusting flavour, it has a sickening aftertaste",2,5-Feb-21,"The taste is horrible. It has a sweet milky flavour which will make you feel sick after consuming it. I tried it with water and milk, both options were pathetic. I somehow drink it these days because I don't want my money to go to waste so need to finish it.Whether it helps in gaining muscle weight or not, that I can only tell after a month of consumption. Once my bottle is over, I'm never repurchasing it again. I'd rather go for Endura mass, even though comparatively it has lower protein content, atleast its taste is bearable.",
Customer,It doesn't have a normal texture like other proteins.,1,8-Jun-21,"I've tried most of the other proteins like Optimum Nutrition, MuscleBlaze etc. This one doesn't have the regular texture and is different from the ones I ordered. The powder is very free and spills everywhere. Only reason I bought it was because it was on offer. If you find it on offer and are going to buy it because it's cheap, DONT. switch to Scitron Raw, it's really cheap and also has 0 carbs",
nikhil,"Cheap quality protein, but OK at this price",1,9-Oct-21,"Don't go with soo much good reviews, it's just an Average protein in taste and effectiveness.The reason behind soo much good reviews is that in each packet,they send in this 100 rs cashback coupon, that you'll get after posting a good review and then sharing the screenshots at the given number.Go for it only if you have limited budget",
Ranapar,"Low solubility, My personal recommendation - avoid this whey",1,16 April 2021,"The product is overall nothing too great. Maybe Good for beginners considering competitive price range, however I would not recommend anyone to take this. Muscles will still be tired inspite of drinking this and as far as muscle growth is considered I would rate it at 1 star.....Solubility in water is very poor and it takes time and lots of stirring for the powder to dissolve. Overall summary- avoid this",
Amazon Customer,Quality needs to be improved,2,23-May-21,"This is my second purchase of BM whey protein but I feel that this time the product is different. It doesn't gets mixed properly with water or milk, forms lump everytime. I had purchased salted caramel flavour but it is not printed in the packet. It is just a sticker stuck to the packet which can be removed. So I really doubt if I received the genuine product this time.",
Sirii,Don't buy coffee flavour...,1,6-Aug-22,Don't buy the coffee flavour I have tried literally all the flavours of this whey...before 1 year caffe Latte use to be the best flavour of this way but now a days u can buy any flavour but don't go for caffe latte this doesn't taste like coffee at all.. My all time favourite is strawberry flavour..salted caramel and Rocky road are also good flavours i gave tried those also...i actually loved salted caramel..,
dev,Genuinely Fake!!!!!!,1,27-Dec-21,BigMuscles is one brand which I always trusted.... But this product is either fake or totally pathetic.... The taste is nothing close to Belgian chocolate.... Mixibility is pathetic...its floats on top and forms lumps.... That's a sign of fake protein..... Pls do not buy,
Piyush Chaurasia,Best Whey Protien Till Date,5,14-Feb-22,"The Big Muscles Whey Protein is the best whey protein i have ordered till date because of the mixability it offers is just amazing and it has a very good taste and texture of chocolate flavour . Best recommended after a workout with water and it helps to grow the muscles and repair them in a faster way , i have tried many other whey proteins in this price range but with my perception big muscles whey protein turns out to be the best in the price segment because of the quality of whey it offers is very good , i would recommend it to everyone , try it once and you would definitely like this product.",
Rishab Goswami,Best whey in affordable price 💪,5,27-Jul-20,Good in flavor and good for beginners and value for moneyAuthentic protein good mix ablity value for moneySuch a good product and good result to in mt budget thankyouu big muscle nutrition for these kind of affordable and high quality products 😊😊 happy customers,
Vikraman k,Good Taste and result....reasonable price,4,5-Jul-22,I have been consuming this Big muscle Whey since 3 years...finished my 2kg packs...I should say that the taste has improved a lot...I feel like drinking a chocolate milk shake..a rich chocolate...they have improved the taste over the period of 3 years...consume 2 scoops a day if u are working out on a daily basis for better result....,
Khushboo Rani,Foamy like soap,1,19-Oct-21,"I bought it second time but got disappointed. First time, the product didn't make any foam at all. Now, for my second purchase for the same product, a large amount of foam is generating. I have attached images. The foam is also not getting away. This is not genuine protein powder. Amazon customer care told me to contact BM directly.",
Brandon,Good price but quality isn't upto the mark.,3,30-Aug-21,"I was excited to receive this package because this was the 1st time I was trying a flavour other than chocolate whey. When I recieved it packaging and everything was great even the smell of the flavour was there, however once you mixed it or use your shaker the consistency of the protein becomes foamy and isn't thick even after using the recommended scoops and water too. I won't be ordering this flavour again unless this problem is resolved because I haven't faced this with other flavours or other brands as well. If you do order consider it an experiment which can result one of two ways.",
