"review_name","review_rating","review_title","review_text","review_helpful_vote"
"Yogesh Kelwalkar","4.0 out of 5 stars","Best quality","Best quality",""
"Ashok Gupta","3.0 out of 5 stars","I didn't like the quality of steel.","I didn't like the quality of the steel.",""
"Johnpeter Raja","4.0 out of 5 stars","Bangalore","Nice good",""
"Shatovisha","4.0 out of 5 stars","Received a used product","Because it's Milton, the product is good, but it seemed like the one I received was a one some other person has used or had returned earlier. There were marks of dried water droplets outside the bottle’s body, and it had water inside the bottle also. The cap is good, and although haven't tested it, should be most probably leak proof.
Also, the bottle was bare bodied inside the Milton packaging, and the plastic cover was just crushed and at the bottom.
This delivery took a week to just dispatch even when the manufacturer was of Gurgaon and the delivery location was of Delhi, and I had bought this as a gift, so couldn't wait any longer to file for replacement. So, I will be going ahead with this one, but a little disappointing experience, tbh.","One person found this helpful"
"Sherlock","3.0 out of 5 stars","Quality moderate 2/5","Quality is not upto mark, rest as expected in Milton. Improve quality of steel used. Will edit review after using few months.",""
"Rukhman","4.0 out of 5 stars","Wonderful","Wonderful",""
"Arnab Ghosh","4.0 out of 5 stars","Good Product","Good Product",""
"Shanks","5.0 out of 5 stars","Very Handy!","This is the best purchase. Have gone through the mixed reviews and thot will give a try but it's the best durable bottle. It's leak proof, easy to clean and very handy. There are many more much cheaper products available in the market, but as per the brand reputation this can be a purchased without second thought.",""
"Bhanu","4.0 out of 5 stars","Water flak","Good and dynamic",""
"Aman deep sharma","4.0 out of 5 stars","After some time, the problem of leakage starts coming in it.","After some time, the problem of leakage starts coming in it.",""
"trishla nigam","4.0 out of 5 stars","Not leakproof..","This bottle is not leakproof...",""
"Murugan","4.0 out of 5 stars","Good product","Easy carrying and useful",""
"Adv. Harel H D","4.0 out of 5 stars","Very useful product","Very good product.",""
"Amazon Customer","4.0 out of 5 stars","Good","Good",""
"Chhaganlal Garg","4.0 out of 5 stars","अच्छा","टिकाऊ सुविधाजनक","One person found this helpful"
"RAJASEKARAN","4.0 out of 5 stars","Good","Good",""
"Jitin","4.0 out of 5 stars","Magnetism is not how you test the chemical composition of steel!","This is a good steel bottle, and a good alternative to plastic bottles. The body of the bottle is made of a rather thin sheet of metal and the build could have been sturdier. The body as well as the lid are made of steel. The lid seems to have some plastic on the insIde, I would have preferred it to be all steel with silicone. The lid in particular is important in a bottle as there are studies which show that bottles with plastic lids can lead to small particles of plastic brushing down the bottle when you open and close the lid.
The package and the website mention the steel to be 18/8 composition. A few reviewers have noted that the bottle is magnetic. It is a myth that 18/8 steel cannot be magnetic when in fact it is very common for 18/8 steel to become magnetic on cold working. Magnetism is not the proper way to test for steel composition. Somehow I doubt that a company like Milton would make a false claim in this regard (as they can be sued, right?). Someone should get the bottle tested for its material composition and the presence of harmful elements like lead.
Iron as it exists in nature exhibits magnetic properties. However in some forms of steel, the iron atoms are arranged in such an alternating way that they cancel out each other's magnetism. Hence the net magnetism turns out to be zero. 18-8 is one such steel which is normally non-magnetic. However, when you cold work this type of steel (physically deform it in some way, bend it, etc.) the structure partially changes to a different one where the iron atoms are not located so as to be able to completely cancel out each other's magnetism, leading to partial magnetism in the steel. This is probably what is happening with this bottle. The chemical composition however remains the same since you or only changing the physical structure, so the steel is still 18-8 but has become partially magnetic. Unless the magnetism poses a problem, this is not an issue (why should it be?). Technically speaking, 18-8 is an austenitic steel which is non-magnetic, but on cold working some of it transforms to martensitic steel which is magnetic.
Will all 18-8 steels become magnetic on cold forming? No, the process partially depends on the amount of carbon in the steel. Steels with lower carbon content would probably not get magnetised as much. The magnetism can also be removed after the cold work by heating the steel to a fairly high temperature to remove the internal stresses and bring the stucture back to austenitic where the iron atoms cancel out each others' magnetism.
I have bottles from the US - from a brand called Klean Kanteen which is fairly well-reputed, and unsurprisingly they are magnetic too while claiming to be 18-8 or 304 steel. The reason being the same - cold working makes 18-8 steel partially magnetic.","264 people found this helpful"
"Ravindra pundir","4.0 out of 5 stars","V. Good","V. Good","One person found this helpful"
"Punit S.","4.0 out of 5 stars","Good product","Stainless steel",""
"Kiran sagar","4.0 out of 5 stars","nice product","nice product",""
"Dipika Bihola","4.0 out of 5 stars","Delivery is dalay","Best",""
"Samsad Ahmed Sarkar","4.0 out of 5 stars","Nice","This is a good steel bottle, and a good alternative to plastic bottles. The body of the bottle is made of a rather thin sheet of metal and the build could have been sturdier. The body as well as the lid are made of steel. The lid seems to have some plastic on the insIde, I would have preferred it to be all steel with silicone. The lid in particular is important in a bottle as there are studies which show that bottles with plastic lids can lead to small particles of plastic brushing down the bottle when you open and close the lid.
The package and the website mention the steel to be 18/8 composition. A few reviewers have noted that the bottle is magnetic. It is a myth that 18/8 steel cannot be magnetic when in fact it is very common for 18/8 steel to become magnetic on cold working. Magnetism is not the proper way to test for steel composition. Somehow I doubt that a company like Milton would make a false claim in this regard (as they can be sued, right?). Someone should get the bottle tested for its material composition and the presence of harmful elements like lead.
Iron as it exists in nature exhibits magnetic properties. However in some forms of steel, the iron atoms are arranged in such an alternating way that they cancel out each other's magnetism. Hence the net magnetism turns out to be zero. 18-8 is one such steel which is normally non-magnetic. However, when you cold work this type of steel (physically deform it in some way, bend it, etc.) the structure partially changes to a different one where the iron atoms are not located so as to be able to completely cancel out each other's magnetism, leading to partial magnetism in the steel. This is probably what is happening with this bottle. The chemical composition however remains the same since you or only changing the physical structure, so the steel is still 18-8 but has become partially magnetic. Unless the magnetism poses a problem, this is not an issue (why should it be?). Technically speaking, 18-8 is an austenitic steel which is non-magnetic, but on cold working some of it transforms to martensitic steel which is magnetic.
Will all 18-8 steels become magnetic on cold forming? No, the process partially depends on the amount of carbon in the steel. Steels with lower carbon content would probably not get magnetised as much. The magnetism can also be removed after the cold work by heating the steel to a fairly high temperature to remove the internal stresses and bring the stucture back to austenitic where the iron atoms cancel out each others' magnetism.
I have bottles from the US - from a brand called Klean Kanteen which is fairly well-reputed, and unsurprisingly they are magnetic too while claiming to be 18-8 or 304 steel. The reason being the same - cold working makes 18-8 steel partially magnetic.","3 people found this helpful"
"Guna","4.0 out of 5 stars","Good","Product is ok but very light weight",""
"Aneesh Kumar","5.0 out of 5 stars","Light weight bottle","Good quality bottle",""
"Satish","5.0 out of 5 stars","Nais products is miltan","Best sellers amezon and miltan is nais products",""
"Kalyan Biswas","4.0 out of 5 stars","Nice products","Products quality was good",""
"PACHAPPAGARI MOHAN VAMSI","3.0 out of 5 stars","It’s very delicate 🙃","It’s very weak",""
"Vashishtha@T","4.0 out of 5 stars","good","good",""
"Bubai","5.0 out of 5 stars","Very good","Everything is good",""
"Deepak singh","5.0 out of 5 stars","Ok","",""
"Pradyumna Bhat","3.0 out of 5 stars","Budget friendly","Bottle for this price is good, durability is brittle as once bottle is dropped u can c the bulges.Hot water causes heat precipitation to outside surface.So doesn't act as a flask for too long.",""
"MAHESHWARAN","4.0 out of 5 stars","GOOD","V GOOD",""
"Bhagwat Dange","5.0 out of 5 stars","Important is that bottle is use to easily and cleaning also easily,","Melton product is the best product.",""
"Pallagani Subbarao","3.0 out of 5 stars","Serves the purpose","Nothing great to say.
It serves the purpose.
No so strong.
Pricing on higher side to some extent.",""
"Pradeep bhargava","5.0 out of 5 stars","Good service by Amazon team","Good work team Amazon",""
"Vaibhav a.","3.0 out of 5 stars","MEDIUM PRODUCT","Bottle is medium in terms of money
Major drawback is that it gets bent when it falls on hard surface",""
"Pavan A","5.0 out of 5 stars","Good bottle","Good one",""
"Vijay","3.0 out of 5 stars","Thickness very less","Wall thickness less and carry difficult when hot water",""
"Gaurav Garg","5.0 out of 5 stars","Good Quality","Very nice product with good build quality, there are no joints at bottom, using them since many months now.",""
"Shiv Dhiman","3.0 out of 5 stars","Water getting leaked after tight closure of lid","Leaking issue",""
"RAGHUPALREDDY","3.0 out of 5 stars","Very much thin, dents very easily","Very thin material, easily getting dents poor quality","One person found this helpful"
"RAHUL","4.0 out of 5 stars","Excellent water bottle","A simple leak proof water bottle. A little expensive but Durable product. Body of bottle is very warm while hot water filling in it ........this is not a thermosteel...bought for Rs 340/-","One person found this helpful"
"sumit","5.0 out of 5 stars","Nice quality","Worth for money",""
"Asish Sahoo","5.0 out of 5 stars","Good product!","Good product!",""
"Nitu Kumari Sahu","5.0 out of 5 stars","This item is paisa wasul.","This product is worth of money.",""
"Akshaya S.","5.0 out of 5 stars","Good","Comfortable, easy to clean, weightless",""
"GANESH JADHAV","4.0 out of 5 stars","Good","Good quality product 👍",""
"Vijai Singh","5.0 out of 5 stars","Good","The bottle is slick :)",""
"Sushil kumar","5.0 out of 5 stars","Awesome","Serve the purpose for which I bought it. It does not keep water cool for long time . it is refrigerator bottle . but looks and finish are great.",""
"Munmun","5.0 out of 5 stars","Is it original Milton or first copy","Just go for it at this price range",""
"lakshmanan","4.0 out of 5 stars","decent quality","initially, it has leakages within 3 days. then I got a replacement. now it's good quality.be aware of the quality",""
"Prodcut Critic","5.0 out of 5 stars","temperature control","Very good product. Meets most requirement. I recommend it",""
"Neil M.","3.0 out of 5 stars","Not up to the mark","Has gunk and dust inside the cap. Didn't expect this",""
"Amazon Customer","5.0 out of 5 stars","It’s worth to purchase.","I like this Milton water bottle.It’s worth of money.",""
"Dipanshu Singh","3.0 out of 5 stars","Milton","Product is good",""
"Chaitra","3.0 out of 5 stars","Decent, but not up to the Milton standard","Steel is good quality. Leak proof. But overall finish is not what we are used to from Milton. Especially didn’t like the cap.",""
"Amazon Customer","3.0 out of 5 stars","Bottles leaking, not leak proof","Good Material and finish, however the bottles are not leak proof...",""
"Amazon Customer","3.0 out of 5 stars","Water gets metal smell in some time.","Water gets metal smell in some time",""
"SadiqTech75","3.0 out of 5 stars","Handle with Care. Light hence can break easily","Within a month the Product cracked. It needs Soft Handling. NOT RECOMMENDED IF U HAVE KIDS Around.","One person found this helpful"
"Kuncheria V Thomas","4.0 out of 5 stars","Good product","",""
"Amazon Customer","5.0 out of 5 stars","Good product for the price.","Liked it",""
"Shayan Roy","3.0 out of 5 stars","If water will be cold bottle will be cracked","If you want to drink cold Water, and you put water and stay in Dif-fridge and you forget to pull out. Then game is over, Water will be cold and bottle will be cracked. It happen me today, that's why i write, I know this message is not published. But I write.",""
"VRUSHABENDRA S.","4.0 out of 5 stars","Quality","Nice product... bottle smell on early stage.",""
"Maulik","4.0 out of 5 stars","The quality of the bottle is quite good.","I'm writing the review for your reference. I do most like the quality of the bottle and the design of the bottle is simple. I'm disappointed with one thing which is the durability of the bottle because it could easily damage if you mistakenly fall it. I would recommend the product at this price.",""
"Sathish","2.0 out of 5 stars","Its broken in a month","Bought this one recently .Its broken without any physical damage(Still wondering how it happened).The steel quality is bad.",""
"Kaushik Sarkar","5.0 out of 5 stars","Must buy","Superb",""
"Venkateswara Rao","5.0 out of 5 stars","Worth for money","This product is good",""
"Sivaprasad","4.0 out of 5 stars","Excellent","Worth formoney",""
"Sangita Mahajan","4.0 out of 5 stars","I don't liked it personally...tooo overpriced","Product thik thak hai practical nahi hai usee accha thermos hai",""
"Prashant Munnolli","5.0 out of 5 stars","Affordable","Good one .. go for it",""
"Ramesh rb","5.0 out of 5 stars","Good quality","Good quality",""
"Swami ji","5.0 out of 5 stars","Best","Good",""
"Renu","2.0 out of 5 stars","Cheap product","Worst quality for such a high price. Very bad material quality and received a dented product. It looks like a cheap quality product. Please dont waste your money. It also leaks after using it just for two times. Worst than an unbranded product.",""
"Sukhyanta Das","5.0 out of 5 stars","Good product","Good product",""
"Mohit chauhan","5.0 out of 5 stars","Good guilty","Good quilty",""
"Kakali Ray","5.0 out of 5 stars","Just Great","Excellent Quality Bottle from Milton",""
"Nawab Ahmad kunash","5.0 out of 5 stars","Steel ness steel","Good",""
"Rahul Singh Raja babu","5.0 out of 5 stars","Good","Good",""
"Ajay Kumar","3.0 out of 5 stars","It's a very better product but when I used it then the taste of my water was little bit changed","It's a very better product but when I used it then the taste of my water was little bit changed",""
"A.THAYALAN","5.0 out of 5 stars","Good product","Leak proof",""
"MANOJ","2.0 out of 5 stars","Very lite weight just an ok product","Bottle lid not good,the plastic part inside the lid comes out when closed and opened again
Very light weight,by mistake if the bottle falls down it would get damaged easily
Only good thing is the water does not get plastic or steel smell when used,it should be a food steel",""
"Pragya Paromita","2.0 out of 5 stars","Leaky bottle","The purpose of carrying a bottle is for it to be filled with liquid, sadly this bottle is very leaky. Not suitable while travelling.",""
"kavitha p.","2.0 out of 5 stars","Ok","Mouth is big , small kids can't drink",""
"AJAZ LONE","5.0 out of 5 stars","Good product","Great product",""
"Amazon Customer","4.0 out of 5 stars","Returned and got a new product","1st delivered product is damaged. I have returned and got a new",""
"shrinivas","3.0 out of 5 stars","Good product","Product is good easy to use and cleaning buy the cap should be used carefully because if we don't turn the cap correctly then the water will be all our your bag please turn the cap carefully",""
"SACHIN KUMAR","4.0 out of 5 stars","Trustworthy Milton ❣️","Product is very durable and easy to carry but with a single drawback, you can easily feel the hot water from outside which makes it uncomfortable to carry 😌",""
"uday","2.0 out of 5 stars","With in month it is broken bottom side","With in month it is broken bottom side, bottle not that strong",""
"Prem","4.0 out of 5 stars","Nice product","Nice",""
"Nimesh","1.0 out of 5 stars","Not satisfactory","Bottle started to leak from bottom side without any damage within 2 months.. Tried to contact milton service centre but no one is answering... Then, What is meaning of providing warranty?? Didnt expect such type of product and response from milton. I feel that i have wasted total amount.. It would be better if purchased from some other brand/local brand.",""
"Subhash","5.0 out of 5 stars","Original Brand","SS304 Steel has magnetic properties. Hence bottle is attracted to magnets as seen in several reviews. Also in some reviews you see that there is no arrows above and below on O in Milton logo. If you go to original website of milton and see the photos of bottles there, you will see that there are no arriws above and below O in logo there. Hence, this is original brand.",""
"Manjunatha Balaraju","3.0 out of 5 stars","Not good product.","Product quality is not good & post delivery I found there was dent on the bottle. Not worth buying as steel quality is below avg.",""
"SherlinDaniel","5.0 out of 5 stars","Good one","",""
"Prem Narayan Soni","5.0 out of 5 stars","Good water bottle for daily use.","Like this item.",""
"Subrat","2.0 out of 5 stars","Not genuine Milton.","The product as such is okay but I have been using Milton bottles and this seems to be of lower quality. The bottle cap is glued to the sheet and while opening the steel part shomehow comes off.",""
"kartik dansena","4.0 out of 5 stars","सामान्य उपयोग के लिए बहुत अच्छा है।","बहुत बढ़िया यह स्टील का वाटर",""
"Pramod","5.0 out of 5 stars","Best steel product","Durability is best",""
"Bhavna J.","1.0 out of 5 stars","Leaking and smelly","The water leaks from this bottle and there is a foul rubber smell in water every time you drink it. This is a very bad purchase from a brand like Milton. I wish I could return it but I have thrown away the box etc.",""
"Amazon Customer","2.0 out of 5 stars","Did not even last a week with my kid","The bottle is easy to clean and leakproof but is not durable. My son dropped it once and there was a dent with a hole within a week. Not advisable for kids.","One person found this helpful"
"Asha Mondal","5.0 out of 5 stars","Item is very good","Very good item",""
"Girigoud Pankaj","5.0 out of 5 stars","Milton product is super","",""
"Sweta singh","3.0 out of 5 stars","Very lite material हल्का सा गिरते से दब गया","Waste of money",""
"Priyanka","5.0 out of 5 stars","Light.","It's been a month I since I have been using the bottle. It's good quality and best part is that's it's light.",""
"MAYANK DAXINI","4.0 out of 5 stars","At present it is good, but what is the life if its cover gasket ?","At present it is leak proof, easy to clean but after long use we donot about its leakage.Hope it will remain leak proof.",""
"Ankit Kumar","5.0 out of 5 stars","@food grade steel 304, Cost Effective, Easy to Clean","Overall this is a good bottle. This is made by food grade stainless steel 304. The wider opening of the bottle makes it easy to clean and this is cost economical too. Handle your bottle with care specially when it is water filled, on falling it may deform. This is good and healthy choise over plastic water because the chemical and resin in plastic bottles makes water unhealthy and may cause you several health risk.",""
"AJAI KUMAR","4.0 out of 5 stars","Nice product","Good in this range , leak proof",""
"Ashwini Gaikwad","4.0 out of 5 stars","Good quality","Quality of product is good. Initial Smell vanished after 1st wash.",""
"Nav @ Prime","3.0 out of 5 stars","Quickly get dents cap is not good","Not worth",""
"Tejesh","3.0 out of 5 stars","Its good but leaking from side","Leakage of water happens from side",""
"Akbar Kelan","5.0 out of 5 stars","All over very good","All over very good but it's too early no judge the durability.",""
"Venkata Anumula","2.0 out of 5 stars","Very delicate steel bottle","The quality of the steel is not good and very delicate. Also water can leak from the bottle at lid.",""
"pramod machale","5.0 out of 5 stars","Nice","Like",""
"Patil","4.0 out of 5 stars","Good product","Good product",""
"Lakshmi","4.0 out of 5 stars","An above ""above average"" bottle.","Best thing about this bottle is that this is light weight.",""
"Philip Kandulna","4.0 out of 5 stars","Recommended .","Good product",""
"Amazon Customer","5.0 out of 5 stars","A great substitute for plastic bottles","We wanted a non plastic option & although glass is great, it is not always practical while being on the move.
I am very happy with this bottle as it is almost as light as a Tupperware bottle of the same capacity. It is sleek, easy to clean and convenient to use.
We also found it very useful & safe with kids & elderly parents. There is no danger of it breaking (though one of our bottles developed a dent on being dropped accidentally).
Some of our guests happened to notice it and we gifted these bottles to them as well. They are quite happy to use them. So, give it a shot!",""
"Hemanthkumar","5.0 out of 5 stars","Always maintain the same quality products would be great","Better than plastic, grater than flask.",""
"Manisha","4.0 out of 5 stars","Good","Happy with the purchase in terms of quality and sturdiness. I bought two. However, the water gets a different taste from the bottle for some time. Wash well a couple of times before using.",""
"Amazon Customer","2.0 out of 5 stars","Lower bottom got separated from body witin two weeks.","I unsatisfied with it.",""
"Rajkumar kushwaha","4.0 out of 5 stars","Good","Nice",""
"USHADEVI","4.0 out of 5 stars","It is not leak proof...","It is not leak proof",""
"rajendra redekar","4.0 out of 5 stars","Good material&look","Easy to clean, durable, best for household use, leakproof but most of the times leaking minor water from 1 of my bottle",""
"vipin kumar","1.0 out of 5 stars","Bottle has a very bad smell in it. You can't take water from this bottle.","Do not buy. Bottle has very bad smell in it. Don't know what's wrong but I am facing this issue since I purchased it. Tried to clean it 100 times but it still has that bad odour int it. When. You can't take water from this bottle.",""
"Manas","1.0 out of 5 stars","Fake Milton this seller is fraud don't buy it worst product ever had","Bottles kid fell down quality is soo bad and price is very much higher according to thi product worst very bad waisted terrible experience .",""
"Mohd shabbir","1.0 out of 5 stars","The water is not being hot as we put in bottle","It is not maintaining water HOT and after putting hot water the upper side of bottle is being so HOT can't touch the bottle so how can we carry this product
Very disappointments from AMAZON not expect this from AMAZON APPLICATION
PLEASE TAKE THIS PRODUCT FROM ME I DON'T WANT THIS PRODUCT I WANT REFUND",""
"Shambhavi Shashikant Joshi","4.0 out of 5 stars","👍👍","I like it",""
"Bhupinder singh","5.0 out of 5 stars","Good but not Thermosteel, this is only steel bottle","This is only steel bottle not for Thermosteel","One person found this helpful"
"PS Patel","5.0 out of 5 stars","After 1year use","1 साल use किया अभी तक कोई leakage नहीं है l",""
"Vineetha","1.0 out of 5 stars","not good","Its Milton. So i expected toughness. The steel is thin. The inner part of the Bottle cap is made of Plastic sticked with glue to the Outer steel cap which gets separated easily with little pressure. After two month i left my bottle in Deep fridge for whole night and bottom of the bottle bluged outside. its unusable now.",""
"jimmy rana","5.0 out of 5 stars","good","nice one",""
"chinmay joshi","4.0 out of 5 stars","Good Product","Overall good, nice quality and easy to clean.",""
"Arumugam","1.0 out of 5 stars","Review","I'm using Amazon for more than 6 years I ordered so many things here. All products were very good quality. First ever very worst product I received. Damaged product. The entire water leaking in my bags. Not preferred for portable. I lost 300 for no use",""
"KIRAN KUMAR K","5.0 out of 5 stars","Value for money","Nice Product, SS304 rust proof steel is best, previous product I bought were 18/8 grade steel, ss304 is better than 18/8",""
"Soni","5.0 out of 5 stars","Good","Very nice",""
"Mohammad Affan Faruqui","5.0 out of 5 stars","Quality","Excellent quality!",""
"Aditya l.","3.0 out of 5 stars","It's average","This product is average but according to price it's perfect cap broke instantly.",""
"Jiwanshu Yadav","4.0 out of 5 stars","Good product 👍","I like it 🙂",""
"Manoj","5.0 out of 5 stars","Nice product","Happy with product and quality. It's unisteel cast product.
Purchase at Rs.343.
There are other colors present but not found on Amazon.",""
"J Santhanam","3.0 out of 5 stars","Not bad","It is not possible to have hot water",""
"Mangala Hegde","4.0 out of 5 stars","Light weight & easy to clean","Good one. Worth for the price",""
"Prashant V Hipparge","4.0 out of 5 stars","Bahot badhiya hai ye","Leblo kimat vasul hai",""
"Kanju","5.0 out of 5 stars","Very good product","It's not an thermalinsulation bottle",""
"Shashank","4.0 out of 5 stars","good product. Unisteel is different from Thermosteel","● Built quality = I have used 6 to 7 steel bottle trust me it's a good quality . Bottle is strong.
● leak = no leakage at all
● concern about logo = don't worry about the logo of Milton. Logo without a ring around the O of miltOn is official too. Even on the official website of Milton many products have Milton name on it without any ring around O. i.e. only Milton has been printed on bottle.
◆Concern = only concern I have that its cap contain plastic covering inside which I think will get separate from its metal part in future.
Otherwise this bottle is very good product at 345 price
◆◆◆ plz remember unisteel is not a thermos. Its a single layer steel. So don't expect that when you will take bottle out of freeze, it will keep water cool as it is for 5-6 hrs.
It is not a thermos. If you want thermos go for Thermosteel.","14 people found this helpful"
"rajesh","1.0 out of 5 stars","Steel cap cover comes out after few use","Size and design is ok..but steel cap cover comes out after 2--3 times use only .leaving the plastic cover exposed. I have tried hot glue gun and fevi quick but of no use...so either leave with ugly plastic cap or through it out. I does not have the packaging so not able to return. Suggest to keep your pakacaging so that you can return. Zero star for quality and will never buy any milton product henceforth.",""
"komal jadhav","4.0 out of 5 stars","Best bottle...go for ittt...","",""
"Shaik rizwana anjum","1.0 out of 5 stars","Duplicate","It can keep hot water hot or cold water cold, not worth paying 350",""
"Udaya S.","4.0 out of 5 stars","A decent one for the price","Good one in that price range",""
"raja","3.0 out of 5 stars","milton bottle","this product is good. small size.",""
"Amazon Customer","3.0 out of 5 stars","Broke after 15 days","Could not tolerate ice in it, bottle got frozen due to mistake, and the metal bottle shape changed and was not able to stand and broke from the bottom. The washer from the cap is not properly fixed with the cap, keeps on getting out from the cap itself
Good for home or less usage",""
"Naaz","5.0 out of 5 stars","Good one","Easy to clean and odorless.",""
"Aman Verma","5.0 out of 5 stars","Good product thanks","Ok",""
"Neeta Bhaderi","5.0 out of 5 stars","Good product Milton🎉","Mil ton is best company 👍",""
"S Chatterjee","5.0 out of 5 stars","Good alternative to plastic bottles.","We need to discontinue using plastic bottles, and this one is the best alternative.",""
"Gudiya singh","4.0 out of 5 stars","Good","Good",""
"Suresh.m","3.0 out of 5 stars","No that much qualityy","Quality not good but colour nice",""
"Swaroop Bandagale","1.0 out of 5 stars","Fraud, not expected this from Amazon.","The bottle was leaking from the bottom side when i filled it and now i'm trying to return it but no response is shown from Amazon. Really not expected. What's the worth of buying this bottle, spending 319/- and the bottle comes with leakage. Disappointed with it.",""
"Vivek","3.0 out of 5 stars","Value for money 💲💰","Value for money 💲💰",""
"Abhishek Singh","4.0 out of 5 stars","Weak Cap","It is leak proof, looks nice and keeps water cool/hot for about a couple of hours.
Only con is that it's Cap is very weak. It falls down once, it get multiple dents.",""
"Sahil surve","4.0 out of 5 stars","Light Weight Leak Proof","Overall Bottle is good under this price Light weight value of Money, 100% Leak proof, durable and portable with office tracking school no doubt go with this bottle if your searching steel bottle.
Thanking you",""
"Prakash","4.0 out of 5 stars","Good Product","Used it for more than 3 months. No rust observed. Bottle is of appropriate weight. Only 1 issue the cap and its inner thread (plastic part) got saperated. Else it is a good product. Price is on a bit higher side.",""
"Raghunath Prasad","4.0 out of 5 stars","Good for journey","Good",""
"Sourabh Singi","4.0 out of 5 stars","Worth for Value","Great product with reasonable price.",""
"Swati","2.0 out of 5 stars","Don't buy","not happy with this product coz of Leakage problem ..",""
"Naveenkumar GP","5.0 out of 5 stars","Good","Amazing",""
"ABUBAKKAR_99","5.0 out of 5 stars","nice and easy to use and clean thank you","This bottle was so nice and easy to use and clean thank you seller this product you are keeping.",""
"Partha Sen","4.0 out of 5 stars","Good for storage water","Made out of thin sheet of food grade stainless steel.Overall finish is good. It is to handled carefully to avoid any dent in the body.Plastic cap encapsulated by steel. No leakage observed.Use liquid dishwasher and soft bottle brush to clean it.Good for regular use. Out of two which I have purchased, one has some bad smell in the water.I have to find out the reason.",""
"Yash","3.0 out of 5 stars","Costly and not upto the mark.","Its handy but delicate and also plastic lid beneath steel ones got detached on the second day after purchase...unable to return bcz already throwed the rapper etc..",""
"Veldhandi Ramesh","2.0 out of 5 stars","May be duplicate","Leaking....",""
"Mahesh","4.0 out of 5 stars","Good product","Good product and quality",""
"HARPREET","3.0 out of 5 stars","good product for drinking water","I m using it from months and highly recommended for drinking water and make sure don't use hot water otherwise its hard to handle. don't use it for cold water some times a smell start coming so u have to keep bottle open in air to remove smell.",""
"Sateish kumar Yadala","1.0 out of 5 stars","Steel cap is getting detached always","The steel cap fixed in plastic is getting removed always. Plastic cap is appearing which is ugly to see",""
"Amazon Customer","4.0 out of 5 stars","Okayish product.","Not thay sturdy material. Already have got multiple dents in places. However, doesn't leak.. and the bottles serves better than plastic ones.",""
"N","1.0 out of 5 stars","Broken on 2nd day of purchase","Did not expect such an inferior quality product from Milton. Used it for one day and on second day it's broken.",""
"Jyoti","4.0 out of 5 stars","Nyc botle","Nyc product",""
"Vanita","5.0 out of 5 stars","Highly Recommended","Highly Recommended",""
