"review_name","review_rating","review_title","review_review_text","review_helpful_vote"
"Aamin shaikh","5.0 out of 5 stars","Nice mobile phone","I love IPhone 12 After using iPhone 12 I feel so happy Nice mobile phone Camera and vedio colitis is amazing .value of money ,better health is good as well as charging is so fast ,","2 people found this helpful"
"Jeevan Kumar K","5.0 out of 5 stars","Good","Good",""
"Michael Dutt","5.0 out of 5 stars","Value for your money","I have not had any problems with this phone and I am very happy with it a big thanks to Apple 👍","One person found this helpful"
"anant","5.0 out of 5 stars","Totally worth of money","It's my first iphone so for me it's amazing.",""
"kenil mavani","5.0 out of 5 stars","good phone","mast phone hai",""
"Aditya agarwala","5.0 out of 5 stars","Worst iPhone ever got","Gaming but it's useless for its lag plz solve software","One person found this helpful"
"Placeholder","5.0 out of 5 stars","As per commitment fulfilled by Amazon thank you so much.","As per commitment fulfilled by Amazon thank you so much for your service and Quality.",""
"Sinchan","5.0 out of 5 stars","Excellent","",""
"Juhi","5.0 out of 5 stars","Nice phone under 50k","It’s a nice one under 50k (after discounts and exchange) as usual superb camera quality as its IOS and so do build quality. You need to activate esim from adhar based state and then can use it as secondary sim.","2 people found this helpful"
"Amazon Customer","5.0 out of 5 stars","Excellent phone.great","Good phone, excellent performance,value for money",""
"dharmendra sahoo","4.0 out of 5 stars","Not bad","My dream came fulfill😀😍","2 people found this helpful"
"Abhishek","4.0 out of 5 stars","An overall good premium experience","SUMMERY: As a first time iPhone user, I would say one should definitely buy iPhone ONLY for premium built & premium hardware (will talk later) while the whole iOS experience is pretty overrated. iPhones isn't any exceptionally fast with normal apps like YouTube, Insta etc, Android phones are equally snappy with them in 2022.
PROS:
1. Impressive hardware, the heptics, the autobrightness & otherwise highly ignored things in Android are way too perfectly executed in iPhone and it DOES make a big difference in user experience!!
2. The screen is AMAZING.. it doesn't have 90 or 120 hz refresh rate but it FEELS better than my Nord with 90 hz!!
3. A14 bionic promises years of performance ahead.
4. Battery life is somewhere in between good & great.
5.
6. The dimensions of phone, it's smaller than usual android phones and feels much more handy along with less weight.
7. Overall build quality is great.
8. Best audio output out there.
9. Long term support.
CONS:
1. SLOW CHARGING. 20 W only, you'll be jealous of 1/3rd price phones with 60 W charging. Yes that much high charging will effect health of battery but 20 W is way way too less, if Apple is such a legendary company they should have created a battery that can withstand decently fast charging while instead they just use slow charging to keep their battery's health.
2. Overy exhagerated software experience, reality is that Android is more user friendly with better gesture & commonsense options & settings & steps to do simple things. iOS looks pretty yes but UX engineers at Apple have really done a crappy job.. there's still no notification grouping in correct manner (its executed poorly), no proper homescreen customisation & just so so so many ""commonsense"" things are missing from iOS I can rant all day about it. Everything you can do in Android with a single click or swipe takes 2 swipes and then a click to do in iOS its SOOOOO ANNOYING. Like you want to clear a notification? Swipe and then click on clear. You want to open a notification? Swipe FIRST and then click open.. like wth????????
3. DON'T believe Apple fanboys who scream about speed, Android phones are equally snappy in performance today. There are split second app loading times in iOS also, just like in Android. And yeah iOS DOES HAVE occasional bugs too, apps taking too much time sometimes etc etc.
4. FaceID is nice but an in-fingerprint reader seems the best ID to me atleast, that's missing.
5. Ridiculously expensive accessories
6. Battery life is above good but not great.
In the end I would say iPhone, overall, does provide a better experience (mostly cuz of hardware only) but it's expensive. Do know that you're NOT buying a value-for-money phone at all, so buy it only if you can afford it without much difficulty.","122 people found this helpful"
"Prasanna Bhalerao","4.0 out of 5 stars","iPhone is the standard against which all smartphones are compared","I purchased this phone for my wife. Last year I purchased iPhone X for my son who is currently in the UK. I own an iPad and iMac 27"". I am not going to buy an iPhone for myself - at least not yet. One of the main things that I don't like about Android phones is the crap (bloatware) that each maker puts in. Moto and Google Pixel come with pure stock Android. So those can be left out. So I wanted a good phone for my wife so that she could FaceTime with my son in the UK anytime.
What is there to say? So many have written about it. Since everyone writes all the positives, I will write some negatives. While there aren't too many, no product can be perfect:
1. Brings in all the junk from the old phone. If one is switching from Android to iPhone, the ""Move to iOS"" app on Android can help. However be sure to clean up your Android phone first else all junk (especially ""Good Morning"", ""Good day"" picture crap from WhatsApp photos). Be sure to clean the SMS inbox also, especially all those blocked and spam messages which may be hidden from the main view and we never know that exist.
2. WhatsApp cannot be synced. Yes, there are 3rd party apps but they are full of ad-crap and I can't trust them for security.
3. Difficulty in validating iMessage and FaceTime. I could not activate iMessage and FaceTime with my mobile number. I simply could not figure this out. This is the case with my Vodaphone SIM/Number in India. Only when I added my email to my Apple ID, the two apps started working. Even now, the mobile number is not verified.
4. I wish Apple provides dual SIM. Now dual SIM is almost a necessity. But as my wife does not use two SIMs, for her, it is fine.
5. Apple is providing USB-C to lightning cable. They should supply USB-A to lightning cable instead. 99% of the chargers have a USB-A output. I had to purchase a USB-A to USB-C mini adapter (₹180) for this, or someone may have to buy a cable of the type (good cables from Apple, Belkin, Anker cost ₹1100 and above). By far, this is my biggest grouse.
6. This is not the latest iPhone. The iPhone 13 was ₹73,000 and did not seem VFM. Even at ₹56,000 (₹55,900 to be exact), the iPhone12 may not be money best spent. This is one reason, why I haven't purchased an iPhone for myself all this while (I can afford to buy the latest one every year).","74 people found this helpful"
"Rup","4.0 out of 5 stars","NOICE","Fabulous!","9 people found this helpful"
"Khadar Basha Shaik","4.0 out of 5 stars","Excellent One but more expensive with more restrictions 😂","Everything is under safety controls and every feature will be restricted to some extent when it comes to safety … nice one","7 people found this helpful"
"manoj kumar jha","4.0 out of 5 stars","Good but overhyped","The product is good for business and work but as a normal usage it is pretty overpriced I've found better devices cheaper than this the honest thing I'd say is it is good but overpriced if you wanna purchase it go ahead it's really smooth and water resistant if you are willing to buy it I'd recommend","11 people found this helpful"
"Sainik","5.0 out of 5 stars","Best Phone","I had been using iPhone 7 and then I bought this iPhone 12. Very good. Lot better. Very fast.! iPhone of any model is always good but this is too good. I know iPhone 14 will be launched soon, but this is none the less. At least apple has worked on battery backup now. Hopefully all will be great! I am a fan of apple phones","5 people found this helpful"
"ARIF KHAN","5.0 out of 5 stars","Expensive, good camera , poor battery , heating problem","Battery performance is disgusting. Camera is 4/5. Gaming amazing. Heat up so much. Everytime heating problem comes out. While charging or gaming....heat up so much.","3 people found this helpful"
"Golu","5.0 out of 5 stars","Very good","Very good phone",""
"sungkum","4.0 out of 5 stars","Good one","Good one","5 people found this helpful"
"Pam","4.0 out of 5 stars","Over priced but you will enjoy using it","Great phone, but overpriced. Not recommended for heavy gamer. You can enjoy playing games it's smooth and almost negligible heating but battery drains very quickly.","8 people found this helpful"
"Sunil mane","5.0 out of 5 stars","Superb","Since launch I am using iphone, previously I buy from show room, but now I living at a place there is no iPhone showroom available, so now I buy it online from amazon, always there is risk of buying such costly thing online, but always amazon delivered original apple product to me,
Now it’s near about 1 yrs from purchase of iPhone 12, there is no issue till date","3 people found this helpful"
"Archana Kakde","5.0 out of 5 stars","Awesome. Color is Perl white not flashy white so you can easily go for it. I loved it","","One person found this helpful"
"Mr Singh","5.0 out of 5 stars","Perfect phone","Working perfectly fine",""
"Nagesh","5.0 out of 5 stars","Beast 😍","Everything looks good. And the camara and the performance is beast. One thing I miss in the box is adopter 😑","4 people found this helpful"
"Jude Benedict","4.0 out of 5 stars","Worst for money","Worst for money","4 people found this helpful"
"Rohith","5.0 out of 5 stars","Great phone","Its better than iphone13 When compared on price point very negligible differences for a normal user.
Battery life- lasts 1day( i am having avg 6-8hr screentime)
Camera- as everyone knows top notch.
User experience- As a android user for long years. This ios experience is just great. Now i understand why many prefer ios.
Face recognition- works well
Updates- as per my knowledge it supports till 2027. And currently eagerly waiting for ios16 release. U can check youtube videos of ios16 features. Much more features coming on software side.","3 people found this helpful"
"Amazon Customer","4.0 out of 5 stars","Overall its nice product","I am using this phone from last 15 days, so I cant say more than the subject.","5 people found this helpful"
"Harish","4.0 out of 5 stars","Not best","Good but not best","4 people found this helpful"
"Sid Malkotia","5.0 out of 5 stars","I want call back","See the pic quality",""
"Rohit","5.0 out of 5 stars","Rocketing product sopper class","Best best apple. just got the duplicate charger with it",""
"Navaneeth","3.0 out of 5 stars","Somehow Returned this","I got this product on 20th April 2022 and returned it on 28th April 2022 haha, with so much excitement I opened the product and started using it, since I was an Android to iOS user I did find some difficulties in using it but it was fine. The real problem started while using it,
The Phone started to overheat for minimal usages, I'd call for 5 to 10 minutes hands would be burning with phone heat, 15 minutes of social media again hands would be burning hot, I didn't get any temperature warning but heat was hot enuf for me to keep it aside for a long period of time, Due to overheat the battery used to die fast and I would hv required to charge it thrice a day. I roamed around the Apple authorized service centres and so many calls to Amazon for a replacement but nobody seems to give me any solution, then I thought I'll just use it, but again it started getting worse and I called Apple and they said to give my phone to service centre for 7 to 10 days so they can diagnosis be done and find out issue while I survive 7 to 10 days without a phone haha, then I couldn't take it anymore as I understood if I continue using this phone I wouldn't get 4 weeks yet alone 4 years and pleaded to Amazon coz I am a prime member ever since prime was out and I have ordered tons and tons of products in Amazon and never faced this issue.
But the hard earned money going like this was hurting so I submitted whatever documents Amazon asked me to get from Apple and finally they gave me return for this product.
The item has been returned and get to reach their warehouse which then oly I will get my refund initiated which is gonna take another 15 to 20 days, but I'm fine since I can wait and not lose my hard earned money. For now I hv a 7 year old phone as backup which is working ok ok but I can manage to write atleast this review.
So whoever face this issue, and wants a replacement or return please try your best with whatever Amazon asks from you n they will provide a solution.
I still need to buy an Apple phone next coz I bought the 2k adapter and it's return period got over haha.
Anyways the Phone was amazing to use,
So performance wise 5/5
Camera was just amazing 5/5
Battery tho 1 or 2/5
Over heating so -2/5 or 0/5
Overall a bad experience but still excited to get apple product.
Btw Apple service centres help very well and listen to ur problems and provide solutions properly and handles it well.
So if you are getting a iPhone I hope u guys don't face any situation like mine.
Thank you n have a great day :)","4 people found this helpful"
"Aashik Francis","5.0 out of 5 stars","Confused? Read on! One stop review for your flagship purchase.","I went through a lot of reviews and articles before I decided on the iPhone 12. I’ve been an Android user all my life and frankly thought Apple phones were really overpriced(at least here in India). But in the present day, the flagship Android options are no less expensive.
If you spend a lot of time on your mobile, using it as your primary camera, social media device, business emails/collaboration and also to stream videos then you definitely need to spend a little more and go with a flagship option for the best experience.
Coming to the flagships today (Aug2021), apart from the iPhone we have Samsung Galaxy S21/+/ultra, Oneplus 9 pro, Vivo x60 pro+, mi 11ultra. If you read a few reviews you’ll understand that 888Snapdragon has a lot of heating issues and 9pro cameras didn’t live up to the hype(also overheating when the camera is in use). Samsung in India ships the phone with exynos2100 which is way less powerful than 888. The prices of all these phones are in the same range (except the ultra). Imp note: iOS updates are across iPhone devices unlike the android updates.
Apple has really done a lot of things right on the iPhone12:
1. They changed its display from lcd to led (huge value jump)
2. A14 Bionic chip is a really fast and smooth without any lag
3. Huge improvement on the primary cameras. Still the best video recording phone in the market and the photos are top quality
4. The change is the body design is really comfortable in the hand
5. The haptics are spot on
What’s Missing: (Minor misses though)
1. The Notch. Really wish they get rid of the notch but looks like it wont be out until 2023. Anyway you’ll get used to it.
2. USB type C charging. The iPad Pro 2020 model onwards already comes with the TypeC usb charging. I guess the iPhone 13 would get this change
3. Fingerprint Sensor: Yes. Apple had done away with it couple of years back but with the pandemic still on, you sometimes wish there was a fingerprint sensor
Wait for the iPhone 13 or go with the 12:
It took a while for 12’s prices to fall. If you’re willing to wait till Feb-March 2022 for a good deal then wait for the 13. If you want to change it now, go with the 12.
64GB or 128GB:
The difference is around ₹6000. 64GB if you don’t play too many games and keep dumping the media files every once in while to your pc/storage . Else, the 128😊
Battery:
I was indeed very surprised with the battery life. Charging time is a little slower compared to it’s competition but the back up is impressive. It easily lasts a day.
Android Flagship Option:
The truth is, right now is not a good time to purchase an android flagship. If you really want to buy an android flagship, do wait for a while. 895 snapdragon phones are expected to be out by end of the year or early 2022.
Hope this review helped :)
Update:
13 gets a better cam sensor, a15 bionic, 10% bigger battery and a slightly smaller notch. That’s it. No more differences. Everything else remains the same.
iPhone 13 launched at 80k which is lesser than 12’s launch price(86k). If you want to save on some cash , 12 will still do the job (12 is currently around 55k-62k). However if you can spend that extra 20k, then 13 should be your pick.
Planning on taking an Android? Definitely wait until early 2022.","97 people found this helpful"
"Samit M.","5.0 out of 5 stars","Excellent Buy","Apple product is ways an excellent product, regarding seller- yes genuine product delivered, packaging is good, and fast delivery. 5 star",""
"Kalyana Manikanta Pasupuleti","4.0 out of 5 stars","Nice","Nice",""
"Soumi Paul","5.0 out of 5 stars","Apple Mobile Feedback","It’s giving me another level of experience. am completely loving this..",""
"Amazon Customer","5.0 out of 5 stars","iPhone is good and battery backup is too good and best camera quality","iPhone is good and battery backup is too good and best camera quality","One person found this helpful"
"Mahesh","5.0 out of 5 stars","Perfact daily driver, Best thing money can buy","Battery lasts a day with normal usage. No Hang or software glitches. Reliable. Buy without a second thought if you have money. I had iphone 6 earlier and used it for 6 years without any issues. Hoping to use this phone for > 5 years as well. I got it for 51K rs under some deal and bank discount.","3 people found this helpful"
"Chetan","3.0 out of 5 stars","Iphone is a worst mobile, look who its design is hurting my skin","It hangs more then my 7 years old moto mobile
Camera quality is worst for iphone12 oneplus nord is far better
Bluetooth, wifi and hotspot rage is less
Doest not capture proper cellular data
Update always come with a new glitch
Omg this mobile was a total wast of money
Today my cable is not working
That box edge are making my skin hurt wherever it touches.
Lastly storage sucks","One person found this helpful"
"Srinivas","5.0 out of 5 stars","I lost my mobile yesterday, hope it is under warranty","I lost my mobile yesterday, hope it is under warranty","3 people found this helpful"
"Vijay mane","5.0 out of 5 stars","Broke the expectations","In the starting days shifting from android to ios was a bit difficult but i didn’t knew iphone are better and secure than android and ask about the gaming experience no words beyond the limit full worth of its money",""
"Fazil khan","5.0 out of 5 stars","Superb !","I have used it like last few months and it is working very Good Sometimes its battrey is not charged upto 80% due to high Heat and it is good also for battery health if you thinking to purchase it go for it",""
"Abhishek Ashok Chidrewar","4.0 out of 5 stars","Kk","Kk",""
"Mayur s Dave","5.0 out of 5 stars","Osham","Last 2 month",""
"pankaj","5.0 out of 5 stars","Superb","Awesome",""
"Prasad","5.0 out of 5 stars","Great","I liked it","One person found this helpful"
"John","5.0 out of 5 stars","All rounder","Excellent mobile in this price range, I really like the battery life I didn’t even expect that much of battery life from an apple product. So Thank you apple","One person found this helpful"
"PRAVEENKUMAR .B","5.0 out of 5 stars","Great performance","Performance is great","One person found this helpful"
"R. Adhiti","5.0 out of 5 stars","Best within this budget for longtime usage","Was a diehard fan of one plus but later it was acquired by oppo and it lost its authenticity, the next best thing is iPhone it will last you for 5 years minimum without any worries in bloatware and most of all security, it’s an all rounder and better when compared to other phones in the market, it doesn’t slow down after it ages, people still use iPhone 5 till date","2 people found this helpful"
"Ajaykumar.M.Parmar","5.0 out of 5 stars","Best phone for the users who uses their phone in a minimal way, handy size.","",""
"RakhuNathan","4.0 out of 5 stars","Not Really worth the money","I have been an android user for the past 8+ years. Recently was using iphone 6 for the past few months, liked it much and wanted to switch to ios. I did not want to regret, so i purchased the best in the market, going with iphone 12. Honestly, I dont feel its worthy. Perfomance wise, its good. A lot other phones like MI, 1+ everything gives us a very nice perfomance too. The A14 chip is just a tag line to sell the phone. Are we really going to process million instructions per second on a mobile phone? Defenitely not.
Battery, After charging it to 100% in the morning, I am hardly getting 1 full day with average use. My battery is almost 20% at the end of the day with a screentime of 4-4.3 hours[Update : With low power mode, it makes a 6 hour day, ending with 30%]. Camera quality is amazing in natural light. Yes, as specified it works so nice in night light, but please dont mistake night light as no-light. Front camera is still average. The same things i see in every other mid range android phones. I am still using JIO 4g. Not sure how this would work on 5g (must drain even faster)
Face detenction, the color of the phone, Water resistant and all stuffs are nice to have, fancy items. But not really convinced if this is all we get for 84k?
Fast charging - I bought a 20W charger from apple store for Rs.1900. I plug in when the battery is 20-25% and it takes 1.45 hours to reach 100%. If this is all about fast charging you are looking for, well and good. I never tried with magsafe, honestly. But this to me doesnt seem fast charging for 2800~ mah battery.
I wont say that this phone is too poor. It gives us all that it promises. Personally I dont recommend investing 85k Indian money into this. Either go for lower versions of other iphones like 11 or you can wait for an year and buy this at cheaper cost.
PROS : Camera & Perfomance
CONS : Battery and Cost","220 people found this helpful"
"Prithvi Mishra","5.0 out of 5 stars","It’s iPhone!","My first iPhone and i must say It’s worth upgrading to IOS. Runs like a charm, no lags and no heating issues. Smooth experience with fantastic display, good battery backup and amazing cameras.","One person found this helpful"
"Sameer angral","5.0 out of 5 stars","Value for money","",""
"Prakhar Gupta","3.0 out of 5 stars","Worse than mid range phones","I've used redmi for quite some time, this product lacks the basic features that all other android phones already have.",""
"Jubin J.","5.0 out of 5 stars","Beast!!","Totally love this product!! Thanks Amazon!! Upgrading myself from Iphone 7plus to Iphone 12 , Totally loving it!!! ❤️❤️ The performance, Camera n even the battery are top notch!!","One person found this helpful"
"Astitva Shukla","5.0 out of 5 stars","One of the best smart phone in the world.","Must buy.",""
"Aben","4.0 out of 5 stars","Good phone... but???","It is not bad as it should for the amount you shell out to buy it. I am having a little issue though, the lightning cable that came with the phone has stopped working in less than 2 months. So that makes you question if the product is really worth it. does the make and quality justify the price?","One person found this helpful"
"Rakesh Singh Tomar","5.0 out of 5 stars","I'm very happy","Wow",""
"Sumit Paul","3.0 out of 5 stars","🤬🤬🤬 60fps is bad.","Camera quality is good.
When 60fps is active the video is blurry 🤬🤬.(1080P and 4K)",""
"Raju b","4.0 out of 5 stars","the sound of media has gone very low","the devic e audio volume has gone very low.......",""
"Amazon Customer","5.0 out of 5 stars","Nice phone with a very good rate.","Very good iphone as expected.Thanks to the seller and thanks to Amazon also.",""
"Vinay kumar hembram","5.0 out of 5 stars","BEST","BEST DELIVERY BO DAMAGED TO THE PRODUCT.","2 people found this helpful"
"BOINAPALLI PAVAN KUMAR","4.0 out of 5 stars","positive: Camera, smoothness and Display . Negative: Delicate and battery life","Good",""
"ARKENDU PAL","5.0 out of 5 stars","Best Smart Phone","The best experience I had ever get in an smart phone.",""
"Asutosh padhy","4.0 out of 5 stars","Absolutely loved the phone but price could have been bit cheaper","I phone i must say having great optimization of software with hardware, more quality apps are available when compared to google, receiving a file is the only major pain i felt till now,
Battery backup is really good 2800 mAh in apple is almost like 5000mAh in android am not kidding, i have rog phone 3 it is 6000 mAh but at the end of the day the i phone has almost same % left, may be it's due to the less hz display.
Despite of having 60Hz display it feels good
And what can i say the speakers are loud and clear compared with rog 3.
45k should have been the right price for 64gb model but for 53k it's not a bad deal either, if you ask me spending 50k for an android is not worth since i phone has all hardware and software superiority.
No charger is a big let down by apple. And finally 64gb is good enough if you ask me as most of those having wifi connection can easily upgrade to i cloud paying just 75rs/Month and for the average 3 years of use the price will be still 2700rs in three year. For the 128gb i had to pay 8000rs more so still i am saving around 5300rs if i chose to use i cloud from the starting day.
No Finger print sensor , but it's ok the face id does it right but yes the finger print should be good. And for the notch it's ok. I phone 12 and 13 has virtually no difference so y to waste 20k more money buying the 13 just for the bit improvement of camera and brightness, hope you like my review 🙂","16 people found this helpful"
"Rajeev Kumar","5.0 out of 5 stars","A wow product 🤩","Again a super fantastic product from Apple. A must buy & every penny worth.
Love it’s premium quality Red colour!😍
And if you looking for your phone upgrade to iPhone 12 so, just don’t wait for a sec & go for it.
This phone is awesome in every aspect either phone look, iOS operating system(which never ever hanged), battery life & camera 📷 pic quality.
Thanks to Appario Retail (Da best seller) & Amazon.",""
"Puneeth","3.0 out of 5 stars","Power cable is not working","Power cable not working",""
"Nitish kumar dilwale","5.0 out of 5 stars","Nice मोबाइल फोन","Nice मोबाइल फोन I love this phone 📱 ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️ ❤️
My CHANAL Please SUBSCRIBE Now 🙏
NITISHopGAMAR
BGMI and pubg","One person found this helpful"
"Saumyajit Mishra","3.0 out of 5 stars","Good product but sound Quality is not good. So go for iphone 13 not 12","Not like this product",""
"Shankar M","5.0 out of 5 stars","Super mobile from Amazon","Battery life is extraordinarily super backup thanks to amazon",""
"Santanu mondal","5.0 out of 5 stars","Excellent experience","The experience with iphone is amazing..so smooth so fluent in every operation every thing you through at it it will handle it with ease!! Very much satisfied with the phone and amazon for the delivery and everything.. i had received the product on 21feb 2022 and i am writing this review on 27june 2022. I have used this phone for 4months and trust me its a beating beautiful device and iOS operating system is too.",""
"Sabhaa","4.0 out of 5 stars","Switched from android to IOS","This was nice switching from android to Apple. I am loving what I am experiencing with it.","One person found this helpful"
"Ankit kumar","5.0 out of 5 stars","Best phone","Superrbbbb",""
"ritesh patel","5.0 out of 5 stars","Don’t go on the negative reviews. The product is amazing","Upgraded from iPhone 8 . Was worried a little to buy online .
The phone is amazing not a single scratch or damaged .
All the features work flawlessly
Syncing from iPhone to iPhone is so easy . The phone itself recognises that we have upgraded to a new phone
Using Apple watch 5 with this , which works superbly well.
The product does not provide charger adapter and earphones thats a cons I felt.
Bought Boat Airdopes 161 which works great on it , with good base and sound as well.",""
"DANISH RASHID","5.0 out of 5 stars","iPhone is iPhone","Very nice handy phone value for money camera is awesome",""
"Akhilesh Kumar","5.0 out of 5 stars","Awesome except battery","Overall good but battery need improvement",""
"Shashikant sharma","4.0 out of 5 stars","Nyc product","Yes this is very useful",""
"Arnab De","4.0 out of 5 stars","Battery Sucks","Battery Sucks","One person found this helpful"
"Ankit yadav","5.0 out of 5 stars","Best iPhone ❤️","I order it for Gaming BGMi and this phone is awesome after 3 months playing games battery health is 99% 🔥",""
"Karthigeyan","5.0 out of 5 stars","Very nice camera quality and battery life","For working
Good",""
"Amazon Customer","5.0 out of 5 stars","A worthy price upgrade for next few years","Upgraded from iPhone 8 to iPhone 12 and I love my decision to stay on iPhone.
Clear cristal voice, (primary reason)
security feature in OS
Compare with Redmi some model pricing around 62k and I compared voice quality which seems better with iPhone",""
"Elliot","4.0 out of 5 stars","Beast🤩🤩🤩🤩","Hello there,
I am writing this review after 3-4 days of usage, Iphone 12 is a beast in terms of:-
Memory
Build quality
Camera
Processor
Display
Except battery there’s rumour going on that iPhone 12 battery is bad or worst, so i am here to clarify all your doubts,
iPhone battery will last easily a day but not more than that and here’s some condition that you should aware about
1. If you are using your phone on wifi than it will last a day easily without any problem.
2. If you are on 4g than it will not last a day for example, if you fully charged your phone at 8 am than it will last till 8 pm not more than that and this happen if you’re on 4g continuously otherwise it will last about 10 pm.
Here’s some tip you should do after buying iPhone 12, watch video on YouTube to know “How to save battery on iPhone 12” this will help you increase your battery life as well battery health.
For my experience, i think you should go for this device without any second thoughts & those who don’t have any tech knowledge and thinking of buying this then I recommend you to go for android because iOS has complicate settings than android...you will regret after buying it.
Got original product Btw!!!!!","329 people found this helpful"
